demand_id,week_start_date,week_end_date,year,week_number,location_id,region_of_kolkata,demand_rank,product_id,product_name,category_name,brand,unit_size,weekday_weekend,weekday_units_sold,weekend_units_sold,units_sold,avg_selling_price_rs,promotion_flag,discount_pct,holiday_flag,festival_event,season,temperature_c,rainfall_mm,humidity_pct,weather_condition,stockout_flag,forecast_target_start,forecast_target_end,next_week_demand_target_units,data_source,recorded_at,_unnamed_33,fact_source,pipeline_timestamp
DEM-0000011,2024-09-01,2024-09-07,2024,1,KOL-LOC-003,Dhakuria,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,250 g,Weekday,71,24,95,47.14,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,90,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000012,2024-09-01,2024-09-07,2024,1,KOL-LOC-003,Dhakuria,2,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,400 g,Weekday,47,22,69,139.51,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,75,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000013,2024-09-01,2024-09-07,2024,1,KOL-LOC-003,Dhakuria,3,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,500 g,Weekday,64,22,86,146.52,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,90,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000014,2024-09-01,2024-09-07,2024,1,KOL-LOC-003,Dhakuria,4,BEV-007,Frooti Mango,Soft Drinks & Beverages,Parle Agro,750 ml,Weekday,63,29,92,56.85,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,98,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000015,2024-09-01,2024-09-07,2024,1,KOL-LOC-003,Dhakuria,5,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,750 ml,Weekday,63,29,92,61.43,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,93,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000016,2024-09-01,2024-09-07,2024,1,KOL-LOC-004,Gariahat,1,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,100 g,Weekday,103,34,137,33.9,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,141,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000017,2024-09-01,2024-09-07,2024,1,KOL-LOC-004,Gariahat,2,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,100 g,Weekday,82,28,110,35.11,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,105,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000018,2024-09-01,2024-09-07,2024,1,KOL-LOC-004,Gariahat,3,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,200 g,Weekday,94,44,138,71.43,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,127,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000019,2024-09-01,2024-09-07,2024,1,KOL-LOC-004,Gariahat,4,VEG-008,Cucumber,Fresh Vegetables,Fresho,100 g,Weekday,79,26,105,11.68,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,116,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000020,2024-09-01,2024-09-07,2024,1,KOL-LOC-004,Gariahat,5,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,200 ml,Weekday,71,33,104,18.29,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,97,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000021,2024-09-01,2024-09-07,2024,1,KOL-LOC-005,Ballygunge,1,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,200 g,Weekday,87,41,128,71.63,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,139,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000022,2024-09-01,2024-09-07,2024,1,KOL-LOC-005,Ballygunge,2,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,250 g,Weekday,90,30,120,49.38,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,112,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000023,2024-09-01,2024-09-07,2024,1,KOL-LOC-005,Ballygunge,3,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,500 g,Weekday,80,26,106,158.42,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,112,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000024,2024-09-01,2024-09-07,2024,1,KOL-LOC-005,Ballygunge,4,BEV-007,Frooti Mango,Soft Drinks & Beverages,Parle Agro,250 ml,Weekday,86,41,127,21.06,1,8,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,138,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000025,2024-09-01,2024-09-07,2024,1,KOL-LOC-005,Ballygunge,5,SNK-004,Bingo Original Style,Chips & Namkeen,Bingo,100 g,Weekday,80,37,117,36.88,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,131,SYNTHETIC_TRAINING,2026-09-14 10:41:01.163,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000026,2024-09-01,2024-09-07,2024,1,KOL-LOC-006,Jodhpur Park,1,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,1 kg,Weekday,69,23,92,300.37,1,20,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,89,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000027,2024-09-01,2024-09-07,2024,1,KOL-LOC-006,Jodhpur Park,2,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,1 kg,Weekday,43,14,57,173.3,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,60,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000028,2024-09-01,2024-09-07,2024,1,KOL-LOC-006,Jodhpur Park,3,INS-004,MTR Ready-to-Eat Upma,Instant & Packaged Foods,MTR,500 g,Weekday,59,20,79,147.04,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,80,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000029,2024-09-01,2024-09-07,2024,1,KOL-LOC-006,Jodhpur Park,4,VEG-008,Cucumber,Fresh Vegetables,Fresho,1 kg,Weekday,45,15,60,68.21,1,5,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,56,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000030,2024-09-01,2024-09-07,2024,1,KOL-LOC-006,Jodhpur Park,5,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,750 ml,Weekday,54,25,79,62.27,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,85,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000031,2024-09-01,2024-09-07,2024,1,KOL-LOC-007,Tollygunge,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,1 kg,Weekday,57,19,76,181.17,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,80,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000032,2024-09-01,2024-09-07,2024,1,KOL-LOC-007,Tollygunge,2,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,500 g,Weekday,70,24,94,159.35,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,85,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000033,2024-09-01,2024-09-07,2024,1,KOL-LOC-007,Tollygunge,3,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,200 g,Weekday,70,33,103,73.06,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,98,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000034,2024-09-01,2024-09-07,2024,1,KOL-LOC-007,Tollygunge,4,DAI-002,Amul Taaza Toned Milk,Dairy & Milk Products,Amul,2 L,Weekday,62,20,82,157.52,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,75,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000035,2024-09-01,2024-09-07,2024,1,KOL-LOC-007,Tollygunge,5,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,400 g,Weekday,46,21,67,137.51,1,10,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,60,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000036,2024-09-01,2024-09-07,2024,1,KOL-LOC-008,Golf Green,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,1 kg,Weekday,49,16,65,179.93,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,67,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000037,2024-09-01,2024-09-07,2024,1,KOL-LOC-008,Golf Green,2,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,200 g,Weekday,61,29,90,70.12,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,97,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000038,2024-09-01,2024-09-07,2024,1,KOL-LOC-008,Golf Green,3,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,200 ml,Weekday,57,27,84,17.5,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,85,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000039,2024-09-01,2024-09-07,2024,1,KOL-LOC-008,Golf Green,4,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,100 g,Weekday,75,25,100,33.52,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,112,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000040,2024-09-01,2024-09-07,2024,1,KOL-LOC-008,Golf Green,5,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,200 g,Weekday,69,32,101,71.98,1,5,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,92,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000041,2024-09-01,2024-09-07,2024,1,KOL-LOC-009,Garia,1,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,50 g,Weekday,71,24,95,15.63,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,104,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000042,2024-09-01,2024-09-07,2024,1,KOL-LOC-009,Garia,2,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,500 g,Weekday,83,28,111,90.53,1,12,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,106,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000043,2024-09-01,2024-09-07,2024,1,KOL-LOC-009,Garia,3,DAI-002,Amul Taaza Toned Milk,Dairy & Milk Products,Amul,200 ml,Weekday,82,28,110,17.55,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,108,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000044,2024-09-01,2024-09-07,2024,1,KOL-LOC-009,Garia,4,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,50 g,Weekday,46,22,68,17.69,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,65,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000045,2024-09-01,2024-09-07,2024,1,KOL-LOC-009,Garia,5,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,250 ml,Weekday,67,32,99,22.4,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,110,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000046,2024-09-01,2024-09-07,2024,1,KOL-LOC-010,Kasba,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,50 g,Weekday,65,22,87,12.2,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,92,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000047,2024-09-01,2024-09-07,2024,1,KOL-LOC-010,Kasba,2,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,250 g,Weekday,89,30,119,79.62,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,105,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000048,2024-09-01,2024-09-07,2024,1,KOL-LOC-010,Kasba,3,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,500 g,Weekday,74,24,98,159.55,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,99,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000049,2024-09-01,2024-09-07,2024,1,KOL-LOC-010,Kasba,4,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,100 g,Weekday,78,36,114,37.7,1,12,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,117,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000050,2024-09-01,2024-09-07,2024,1,KOL-LOC-010,Kasba,5,VEG-008,Cucumber,Fresh Vegetables,Fresho,2 kg,Weekday,57,19,76,134.91,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,68,SYNTHETIC_TRAINING,2026-09-14 10:41:01.164,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000051,2024-09-01,2024-09-07,2024,1,KOL-LOC-011,Mukundapur,1,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,500 g,Weekday,63,21,84,164.8,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,93,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000052,2024-09-01,2024-09-07,2024,1,KOL-LOC-011,Mukundapur,2,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,400 g,Weekday,46,22,68,139.87,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,67,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000053,2024-09-01,2024-09-07,2024,1,KOL-LOC-011,Mukundapur,3,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,500 g,Weekday,55,18,73,146.32,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,71,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000054,2024-09-01,2024-09-07,2024,1,KOL-LOC-011,Mukundapur,4,VEG-008,Cucumber,Fresh Vegetables,Fresho,100 g,Weekday,67,22,89,12.03,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,97,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000055,2024-09-01,2024-09-07,2024,1,KOL-LOC-011,Mukundapur,5,TEA-006,Wagh Bakri Premium Tea,Tea & Coffee,Wagh Bakri,100 g,Weekday,63,21,84,64.62,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,92,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000056,2024-09-01,2024-09-07,2024,1,KOL-LOC-012,Santoshpur,1,INS-008,Kellogg's Corn Flakes,Instant & Packaged Foods,Kellogg's,500 g,Weekday,69,23,92,152.03,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,94,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000057,2024-09-01,2024-09-07,2024,1,KOL-LOC-012,Santoshpur,2,INS-009,Quaker Oats,Instant & Packaged Foods,Quaker,100 g,Weekday,66,22,88,35.17,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,83,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000058,2024-09-01,2024-09-07,2024,1,KOL-LOC-012,Santoshpur,3,INS-004,MTR Ready-to-Eat Upma,Instant & Packaged Foods,MTR,1 kg,Weekday,49,16,65,286.84,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,61,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000059,2024-09-01,2024-09-07,2024,1,KOL-LOC-012,Santoshpur,4,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,1 kg,Weekday,45,15,60,179.33,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,56,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000060,2024-09-01,2024-09-07,2024,1,KOL-LOC-012,Santoshpur,5,BEV-001,Coca-Cola,Soft Drinks & Beverages,Coca-Cola,250 ml,Weekday,46,22,68,22.81,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,65,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
DEM-0000061,2024-09-01,2024-09-07,2024,1,KOL-LOC-013,New Alipore,1,INS-001,Maggi 2-Minute Noodles,Instant & Packaged Foods,Nestlé,500 g,Weekday,80,27,107,90.87,0,0,0,,Monsoon,31.6,41.9,91.9,Rain,0,2024-09-08,2024-09-14,104,SYNTHETIC_TRAINING,2026-09-14 10:41:01.165,,FINAL_DEMAND_AGENT_TRAINING,2026-09-21T13:22:09.034261+00:00
