weather_id,week_id,week_start_date,week_end_date,season,temperature_mean_c,rainfall_mm,humidity_pct,weather_condition
WEA-043,2024-W43,2024-10-21,2024-10-27,Autumn,28.9,7.3,69.3,Clear/Partly Cloudy
WEA-044,2024-W44,2024-10-28,2024-11-03,Autumn,26.2,10.1,75.9,Clear/Partly Cloudy
WEA-045,2024-W45,2024-11-04,2024-11-10,Autumn,23.8,0.0,76.5,Clear/Partly Cloudy
WEA-046,2024-W46,2024-11-11,2024-11-17,Autumn,25.4,0.0,74.8,Clear/Partly Cloudy
WEA-047,2024-W47,2024-11-18,2024-11-24,Autumn,24.7,0.0,66.9,Clear/Partly Cloudy
WEA-048,2024-W48,2024-11-25,2024-12-01,Autumn,25.6,0.6,67.3,Clear/Partly Cloudy
WEA-049,2024-W49,2024-12-02,2024-12-08,Winter,21.0,3.2,65.2,Clear/Partly Cloudy
WEA-050,2024-W50,2024-12-09,2024-12-15,Winter,20.4,14.0,64.5,Clear/Partly Cloudy
WEA-051,2024-W51,2024-12-16,2024-12-22,Winter,21.7,13.8,58.4,Clear/Partly Cloudy
WEA-052,2024-W52,2024-12-23,2024-12-29,Winter,21.7,1.9,67.1,Clear/Partly Cloudy
WEA-053,2025-W01,2024-12-30,2025-01-05,Winter,20.6,1.3,53.6,Clear/Partly Cloudy
WEA-054,2025-W02,2025-01-06,2025-01-12,Winter,20.2,0.0,55.5,Clear/Partly Cloudy
WEA-055,2025-W03,2025-01-13,2025-01-19,Winter,19.9,0.0,56.6,Clear/Partly Cloudy
WEA-056,2025-W04,2025-01-20,2025-01-26,Winter,21.2,0.0,55.9,Clear/Partly Cloudy
WEA-057,2025-W05,2025-01-27,2025-02-02,Winter,21.8,0.0,61.4,Clear/Partly Cloudy
WEA-058,2025-W06,2025-02-03,2025-02-09,Winter,25.1,8.2,61.2,Clear/Partly Cloudy
WEA-059,2025-W07,2025-02-10,2025-02-16,Winter,25.1,4.4,58.7,Clear/Partly Cloudy
WEA-060,2025-W08,2025-02-17,2025-02-23,Winter,24.7,21.8,65.0,Rain
WEA-061,2025-W09,2025-02-24,2025-03-02,Winter,25.3,8.2,55.3,Clear/Partly Cloudy
WEA-062,2025-W10,2025-03-03,2025-03-09,Spring,28.7,8.4,74.0,Clear/Partly Cloudy
WEA-063,2025-W11,2025-03-10,2025-03-16,Spring,26.7,7.1,75.8,Clear/Partly Cloudy
WEA-064,2025-W12,2025-03-17,2025-03-23,Spring,29.4,10.4,63.8,Clear/Partly Cloudy
WEA-065,2025-W13,2025-03-24,2025-03-30,Spring,28.9,17.0,67.2,Clear/Partly Cloudy
WEA-066,2025-W14,2025-03-31,2025-04-06,Spring,30.0,2.0,74.0,Clear/Partly Cloudy
WEA-067,2025-W15,2025-04-07,2025-04-13,Spring,30.3,24.2,66.2,Rain
WEA-068,2025-W16,2025-04-14,2025-04-20,Spring,29.5,8.6,64.6,Clear/Partly Cloudy
WEA-069,2025-W17,2025-04-21,2025-04-27,Spring,30.5,12.8,61.9,Clear/Partly Cloudy
WEA-070,2025-W18,2025-04-28,2025-05-04,Summer,30.4,14.9,62.4,Clear/Partly Cloudy
WEA-071,2025-W19,2025-05-05,2025-05-11,Summer,30.3,10.6,73.5,Clear/Partly Cloudy
WEA-072,2025-W20,2025-05-12,2025-05-18,Summer,30.8,27.7,77.2,Rain
WEA-073,2025-W21,2025-05-19,2025-05-25,Summer,31.2,3.6,65.1,Clear/Partly Cloudy
WEA-074,2025-W22,2025-05-26,2025-06-01,Summer,30.4,12.3,73.6,Clear/Partly Cloudy
WEA-075,2025-W23,2025-06-02,2025-06-08,Summer,29.1,3.3,71.1,Clear/Partly Cloudy
WEA-076,2025-W24,2025-06-09,2025-06-15,Summer,29.8,16.7,70.4,Clear/Partly Cloudy
WEA-077,2025-W25,2025-06-16,2025-06-22,Summer,31.0,14.2,73.3,Clear/Partly Cloudy
WEA-078,2025-W26,2025-06-23,2025-06-29,Summer,30.4,11.4,72.4,Clear/Partly Cloudy
WEA-079,2025-W27,2025-06-30,2025-07-06,Monsoon,29.8,16.9,86.2,Cloudy
WEA-080,2025-W28,2025-07-07,2025-07-13,Monsoon,29.0,6.2,81.4,Clear/Partly Cloudy
WEA-081,2025-W29,2025-07-14,2025-07-20,Monsoon,29.1,11.5,76.4,Clear/Partly Cloudy
WEA-082,2025-W30,2025-07-21,2025-07-27,Monsoon,29.3,11.9,81.3,Clear/Partly Cloudy
WEA-083,2025-W31,2025-07-28,2025-08-03,Monsoon,29.5,11.1,89.1,Cloudy
WEA-084,2025-W32,2025-08-04,2025-08-10,Monsoon,28.8,17.6,84.6,Cloudy
WEA-085,2025-W33,2025-08-11,2025-08-17,Monsoon,28.4,13.8,82.5,Cloudy
WEA-086,2025-W34,2025-08-18,2025-08-24,Monsoon,30.0,14.8,80.6,Clear/Partly Cloudy
WEA-087,2025-W35,2025-08-25,2025-08-31,Monsoon,29.6,0.8,88.8,Cloudy
WEA-088,2025-W36,2025-09-01,2025-09-07,Monsoon,30.3,12.2,83.3,Cloudy
WEA-089,2025-W37,2025-09-08,2025-09-14,Monsoon,31.4,7.3,85.9,Cloudy
WEA-090,2025-W38,2025-09-15,2025-09-21,Monsoon,29.1,12.6,82.5,Cloudy
WEA-091,2025-W39,2025-09-22,2025-09-28,Monsoon,29.6,9.3,91.1,Cloudy
WEA-092,2025-W40,2025-09-29,2025-10-05,Autumn,28.2,4.6,76.6,Clear/Partly Cloudy
WEA-093,2025-W41,2025-10-06,2025-10-12,Autumn,28.8,6.8,75.3,Clear/Partly Cloudy
WEA-094,2025-W42,2025-10-13,2025-10-19,Autumn,28.8,21.4,72.0,Rain
WEA-095,2025-W43,2025-10-20,2025-10-26,Autumn,28.5,4.1,73.5,Clear/Partly Cloudy
WEA-096,2025-W44,2025-10-27,2025-11-02,Autumn,27.4,11.1,74.1,Clear/Partly Cloudy
WEA-097,2025-W45,2025-11-03,2025-11-09,Autumn,23.2,0.0,78.6,Clear/Partly Cloudy
WEA-098,2025-W46,2025-11-10,2025-11-16,Autumn,24.9,0.0,67.9,Clear/Partly Cloudy
WEA-099,2025-W47,2025-11-17,2025-11-23,Autumn,24.1,0.0,73.5,Clear/Partly Cloudy
WEA-100,2025-W48,2025-11-24,2025-11-30,Autumn,24.6,0.0,74.2,Clear/Partly Cloudy
WEA-101,2025-W49,2025-12-01,2025-12-07,Winter,19.8,0.0,63.8,Clear/Partly Cloudy
WEA-102,2025-W50,2025-12-08,2025-12-14,Winter,20.0,0.0,68.9,Clear/Partly Cloudy
WEA-103,2025-W51,2025-12-15,2025-12-21,Winter,20.6,0.0,54.3,Clear/Partly Cloudy
WEA-104,2025-W52,2025-12-22,2025-12-28,Winter,20.1,0.0,63.4,Clear/Partly Cloudy
WEA-105,2026-W01,2025-12-29,2025-12-31,Winter,19.9,0.0,56.7,Clear/Partly Cloudy
