sale_id,week_id,week_start_date,week_end_date,location_id,product_id,units_sold,avg_selling_price_rs,revenue_rs
SALE-000029,2024-W01,2024-01-01,2024-01-07,KOL-LOC-006,PRO-189,83,36.67,3043.61
SALE-000030,2024-W01,2024-01-01,2024-01-07,KOL-LOC-006,PRO-188,76,15.91,1209.16
SALE-000031,2024-W01,2024-01-01,2024-01-07,KOL-LOC-007,PRO-139,112,137.62,15413.44
SALE-000032,2024-W01,2024-01-01,2024-01-07,KOL-LOC-007,PRO-134,102,298.64,30461.28
SALE-000033,2024-W01,2024-01-01,2024-01-07,KOL-LOC-007,PRO-137,99,296.94,29397.06
SALE-000034,2024-W01,2024-01-01,2024-01-07,KOL-LOC-007,PRO-189,99,82.8,8197.199999999999
SALE-000035,2024-W01,2024-01-01,2024-01-07,KOL-LOC-007,PRO-131,95,64.11,6090.45
SALE-000036,2024-W01,2024-01-01,2024-01-07,KOL-LOC-008,PRO-136,114,68.89,7853.46
SALE-000037,2024-W01,2024-01-01,2024-01-07,KOL-LOC-008,PRO-132,108,561.13,60602.04
SALE-000038,2024-W01,2024-01-01,2024-01-07,KOL-LOC-008,PRO-042,104,161.43,16788.72
SALE-000039,2024-W01,2024-01-01,2024-01-07,KOL-LOC-008,PRO-131,104,299.18,31114.72
SALE-000040,2024-W01,2024-01-01,2024-01-07,KOL-LOC-008,PRO-189,88,307.43,27053.84
SALE-000041,2024-W01,2024-01-01,2024-01-07,KOL-LOC-009,PRO-139,119,2405.9,286302.10000000003
SALE-000042,2024-W01,2024-01-01,2024-01-07,KOL-LOC-009,PRO-137,106,32.97,3494.8199999999997
SALE-000043,2024-W01,2024-01-01,2024-01-07,KOL-LOC-009,PRO-042,101,156.69,15825.69
SALE-000044,2024-W01,2024-01-01,2024-01-07,KOL-LOC-009,PRO-189,88,81.43,7165.84
SALE-000045,2024-W01,2024-01-01,2024-01-07,KOL-LOC-009,PRO-128,74,83.11,6150.14
SALE-000046,2024-W01,2024-01-01,2024-01-07,KOL-LOC-010,PRO-132,117,32.3,3779.0999999999995
SALE-000047,2024-W01,2024-01-01,2024-01-07,KOL-LOC-010,PRO-131,112,63.58,7120.96
SALE-000048,2024-W01,2024-01-01,2024-01-07,KOL-LOC-010,PRO-189,102,35.79,3650.58
SALE-000049,2024-W01,2024-01-01,2024-01-07,KOL-LOC-010,PRO-136,92,151.25,13915.0
SALE-000050,2024-W01,2024-01-01,2024-01-07,KOL-LOC-010,PRO-188,92,31.67,2913.6400000000003
SALE-000051,2024-W01,2024-01-01,2024-01-07,KOL-LOC-011,PRO-132,103,152.4,15697.2
SALE-000052,2024-W01,2024-01-01,2024-01-07,KOL-LOC-011,PRO-131,102,548.98,55995.96
SALE-000053,2024-W01,2024-01-01,2024-01-07,KOL-LOC-011,PRO-137,88,33.0,2904.0
SALE-000054,2024-W01,2024-01-01,2024-01-07,KOL-LOC-011,PRO-118,83,17.38,1442.54
SALE-000055,2024-W01,2024-01-01,2024-01-07,KOL-LOC-011,PRO-181,81,88.78,7191.18
SALE-000056,2024-W01,2024-01-01,2024-01-07,KOL-LOC-012,PRO-132,115,151.92,17470.8
SALE-000057,2024-W01,2024-01-01,2024-01-07,KOL-LOC-012,PRO-139,102,659.65,67284.3
SALE-000058,2024-W01,2024-01-01,2024-01-07,KOL-LOC-012,PRO-131,100,152.36,15236.000000000002
SALE-000059,2024-W01,2024-01-01,2024-01-07,KOL-LOC-012,PRO-134,95,157.04,14918.8
SALE-000060,2024-W01,2024-01-01,2024-01-07,KOL-LOC-012,PRO-189,79,34.57,2731.03
SALE-000061,2024-W01,2024-01-01,2024-01-07,KOL-LOC-013,PRO-132,123,66.81,8217.630000000001
SALE-000062,2024-W01,2024-01-01,2024-01-07,KOL-LOC-013,PRO-136,121,62.04,7506.84
SALE-000063,2024-W01,2024-01-01,2024-01-07,KOL-LOC-013,PRO-139,105,662.37,69548.85
SALE-000064,2024-W01,2024-01-01,2024-01-07,KOL-LOC-013,PRO-131,90,146.7,13202.999999999998
SALE-000065,2024-W01,2024-01-01,2024-01-07,KOL-LOC-013,PRO-188,87,284.84,24781.079999999998
SALE-000066,2024-W01,2024-01-01,2024-01-07,KOL-LOC-014,PRO-132,102,287.76,29351.52
SALE-000067,2024-W01,2024-01-01,2024-01-07,KOL-LOC-014,PRO-137,90,66.44,5979.599999999999
SALE-000068,2024-W01,2024-01-01,2024-01-07,KOL-LOC-014,PRO-136,83,63.58,5277.139999999999
SALE-000069,2024-W01,2024-01-01,2024-01-07,KOL-LOC-014,PRO-134,82,281.8,23107.600000000002
SALE-000070,2024-W01,2024-01-01,2024-01-07,KOL-LOC-014,PRO-118,78,136.49,10646.220000000001
SALE-000071,2024-W01,2024-01-01,2024-01-07,KOL-LOC-015,PRO-132,95,302.79,28765.050000000003
SALE-000072,2024-W01,2024-01-01,2024-01-07,KOL-LOC-015,PRO-131,93,32.44,3016.9199999999996
SALE-000073,2024-W01,2024-01-01,2024-01-07,KOL-LOC-015,PRO-137,92,33.0,3036.0
SALE-000074,2024-W01,2024-01-01,2024-01-07,KOL-LOC-015,PRO-136,88,32.19,2832.72
SALE-000075,2024-W01,2024-01-01,2024-01-07,KOL-LOC-015,PRO-139,88,662.07,58262.16
SALE-000076,2024-W01,2024-01-01,2024-01-07,KOL-LOC-016,PRO-139,118,138.74,16371.320000000002
SALE-000077,2024-W01,2024-01-01,2024-01-07,KOL-LOC-016,PRO-134,109,152.34,16605.06
SALE-000078,2024-W01,2024-01-01,2024-01-07,KOL-LOC-016,PRO-131,106,32.1,3402.6000000000004
SALE-000079,2024-W01,2024-01-01,2024-01-07,KOL-LOC-016,PRO-137,94,153.42,14421.48
SALE-000080,2024-W01,2024-01-01,2024-01-07,KOL-LOC-016,PRO-136,83,560.25,46500.75
SALE-000081,2024-W01,2024-01-01,2024-01-07,KOL-LOC-017,PRO-131,101,65.26,6591.26
SALE-000082,2024-W01,2024-01-01,2024-01-07,KOL-LOC-017,PRO-139,97,280.48,27206.56
SALE-000083,2024-W01,2024-01-01,2024-01-07,KOL-LOC-017,PRO-188,92,284.59,26182.28
SALE-000084,2024-W01,2024-01-01,2024-01-07,KOL-LOC-017,PRO-132,89,548.13,48783.57
SALE-000085,2024-W01,2024-01-01,2024-01-07,KOL-LOC-017,PRO-137,87,65.66,5712.42
SALE-000086,2024-W01,2024-01-01,2024-01-07,KOL-LOC-018,PRO-131,122,304.44,37141.68
SALE-000087,2024-W01,2024-01-01,2024-01-07,KOL-LOC-018,PRO-132,115,64.74,7445.099999999999
SALE-000088,2024-W01,2024-01-01,2024-01-07,KOL-LOC-018,PRO-136,101,156.37,15793.37
SALE-000089,2024-W01,2024-01-01,2024-01-07,KOL-LOC-018,PRO-137,91,567.56,51647.95999999999
SALE-000090,2024-W01,2024-01-01,2024-01-07,KOL-LOC-018,PRO-042,87,36.18,3147.66
SALE-000091,2024-W01,2024-01-01,2024-01-07,KOL-LOC-019,PRO-137,131,153.73,20138.629999999997
SALE-000092,2024-W01,2024-01-01,2024-01-07,KOL-LOC-019,PRO-132,124,571.12,70818.88
SALE-000093,2024-W01,2024-01-01,2024-01-07,KOL-LOC-019,PRO-139,120,640.49,76858.8
SALE-000094,2024-W01,2024-01-01,2024-01-07,KOL-LOC-019,PRO-181,119,11.8,1404.2
SALE-000095,2024-W01,2024-01-01,2024-01-07,KOL-LOC-019,PRO-136,115,153.56,17659.4
SALE-000096,2024-W01,2024-01-01,2024-01-07,KOL-LOC-020,PRO-132,139,559.1,77714.90000000001
SALE-000097,2024-W01,2024-01-01,2024-01-07,KOL-LOC-020,PRO-131,135,33.42,4511.7
SALE-000098,2024-W01,2024-01-01,2024-01-07,KOL-LOC-020,PRO-139,116,257.8,29904.800000000003
SALE-000099,1970-W01,1970-01-01,1970-01-01,KOL-LOC-020,PRO-136,114,283.7,32341.8
SALE-000100,1970-W01,1970-01-01,1970-01-01,KOL-LOC-020,PRO-189,107,37.3,3991.1
SALE-000101,1970-W01,1970-01-01,1970-01-01,KOL-LOC-021,PRO-131,109,294.62,32113.58
SALE-000102,1970-W01,1970-01-01,1970-01-01,KOL-LOC-021,PRO-132,109,66.13,7208.169999999999
SALE-000103,1970-W01,1970-01-01,1970-01-01,KOL-LOC-021,PRO-134,95,32.72,3108.4
SALE-000104,1970-W01,1970-01-01,1970-01-01,KOL-LOC-021,PRO-139,94,656.84,61742.96000000001
SALE-000105,1970-W01,1970-01-01,1970-01-01,KOL-LOC-021,PRO-181,93,20.14,1873.02
SALE-000106,1970-W01,1970-01-01,1970-01-01,KOL-LOC-022,PRO-137,120,68.58,8229.6
SALE-000107,1970-W01,1970-01-01,1970-01-01,KOL-LOC-022,PRO-188,94,32.38,3043.7200000000003
SALE-000108,1970-W01,1970-01-01,1970-01-01,KOL-LOC-022,PRO-189,93,153.27,14254.11
SALE-000109,1970-W01,1970-01-01,1970-01-01,KOL-LOC-022,PRO-136,87,32.01,2784.87
SALE-000110,1970-W01,1970-01-01,1970-01-01,KOL-LOC-022,PRO-118,81,133.6,10821.6
SALE-000111,1970-W01,1970-01-01,1970-01-01,KOL-LOC-023,PRO-131,103,63.94,6585.82
SALE-000112,1970-W01,1970-01-01,1970-01-01,KOL-LOC-023,PRO-136,100,289.54,28954.000000000004
SALE-000113,1970-W01,1970-01-01,1970-01-01,KOL-LOC-023,PRO-139,100,2344.38,234438.0
SALE-000114,1970-W01,1970-01-01,1970-01-01,KOL-LOC-023,PRO-181,97,176.07,17078.79
SALE-000115,1970-W01,1970-01-01,1970-01-01,KOL-LOC-023,PRO-137,96,292.04,28035.840000000004
SALE-000116,1970-W01,1970-01-01,1970-01-01,KOL-LOC-024,PRO-132,112,295.48,33093.76
SALE-000117,1970-W01,1970-01-01,1970-01-01,KOL-LOC-024,PRO-137,111,572.64,63563.04
SALE-000118,1970-W01,1970-01-01,1970-01-01,KOL-LOC-024,PRO-136,110,64.73,7120.3
SALE-000119,1970-W01,1970-01-01,1970-01-01,KOL-LOC-024,PRO-139,107,1257.41,134542.87
SALE-000120,1970-W01,1970-01-01,1970-01-01,KOL-LOC-024,PRO-131,96,579.51,55632.96
SALE-000121,1970-W01,1970-01-01,1970-01-01,KOL-LOC-025,PRO-139,107,133.01,14232.07
SALE-000122,1970-W01,1970-01-01,1970-01-01,KOL-LOC-025,PRO-132,98,287.54,28178.920000000002
SALE-000123,1970-W01,1970-01-01,1970-01-01,KOL-LOC-025,PRO-131,96,301.35,28929.600000000002
SALE-000124,1970-W01,1970-01-01,1970-01-01,KOL-LOC-025,PRO-134,94,532.86,50088.840000000004
SALE-000125,1970-W01,1970-01-01,1970-01-01,KOL-LOC-025,PRO-136,85,571.56,48582.6
SALE-000126,1970-W01,1970-01-01,1970-01-01,KOL-LOC-026,PRO-132,103,298.98,30794.940000000002
SALE-000127,1970-W01,1970-01-01,1970-01-01,KOL-LOC-026,PRO-137,99,33.23,3289.7699999999995
SALE-000128,1970-W01,1970-01-01,1970-01-01,KOL-LOC-026,PRO-139,91,650.02,59151.82
SALE-000129,1970-W01,1970-01-01,1970-01-01,KOL-LOC-026,PRO-131,91,64.6,5878.599999999999
SALE-000130,1970-W01,1970-01-01,1970-01-01,KOL-LOC-026,PRO-118,82,138.72,11375.039999999999
SALE-000131,1970-W01,1970-01-01,1970-01-01,KOL-LOC-027,PRO-132,106,543.07,57565.420000000006
SALE-000132,1970-W01,1970-01-01,1970-01-01,KOL-LOC-027,PRO-136,101,290.18,29308.18
SALE-000133,1970-W01,1970-01-01,1970-01-01,KOL-LOC-027,PRO-131,88,554.5,48796.0
SALE-000134,1970-W01,1970-01-01,1970-01-01,KOL-LOC-027,PRO-139,87,2438.97,212190.38999999998
SALE-000135,1970-W01,1970-01-01,1970-01-01,KOL-LOC-027,PRO-118,68,70.64,4803.52
SALE-000136,1970-W01,1970-01-01,1970-01-01,KOL-LOC-028,PRO-132,114,66.19,7545.66
SALE-000137,1970-W01,1970-01-01,1970-01-01,KOL-LOC-028,PRO-137,112,557.04,62388.479999999996
SALE-000138,1970-W01,1970-01-01,1970-01-01,KOL-LOC-028,PRO-139,100,2394.92,239492.0
SALE-000139,1970-W01,1970-01-01,1970-01-01,KOL-LOC-028,PRO-136,91,149.65,13618.15
SALE-000140,1970-W01,1970-01-01,1970-01-01,KOL-LOC-028,PRO-042,91,35.2,3203.2000000000003
SALE-000141,1970-W01,1970-01-01,1970-01-01,KOL-LOC-029,PRO-131,114,562.77,64155.78
SALE-000142,1970-W01,1970-01-01,1970-01-01,KOL-LOC-029,PRO-136,112,154.38,17290.559999999998
SALE-000143,1970-W01,1970-01-01,1970-01-01,KOL-LOC-029,PRO-139,110,135.58,14913.800000000001
SALE-000144,1970-W01,1970-01-01,1970-01-01,KOL-LOC-029,PRO-137,106,66.59,7058.54
SALE-000145,1970-W01,1970-01-01,1970-01-01,KOL-LOC-029,PRO-132,104,33.22,3454.88
SALE-000146,1970-W01,1970-01-01,1970-01-01,KOL-LOC-030,PRO-131,120,32.17,3860.4
SALE-000147,1970-W01,1970-01-01,1970-01-01,KOL-LOC-030,PRO-134,113,30.73,3472.4900000000002
SALE-000148,1970-W01,1970-01-01,1970-01-01,KOL-LOC-030,PRO-132,112,33.67,3771.04
SALE-000149,1970-W01,1970-01-01,1970-01-01,KOL-LOC-030,PRO-042,101,35.7,3605.7000000000003
SALE-000150,1970-W01,1970-01-01,1970-01-01,KOL-LOC-030,PRO-118,86,34.85,2997.1
SALE-000151,1970-W01,1970-01-01,1970-01-01,KOL-LOC-031,PRO-139,115,641.68,73793.2
SALE-000152,1970-W01,1970-01-01,1970-01-01,KOL-LOC-031,PRO-034,109,84.83,9246.47
SALE-000153,1970-W01,1970-01-01,1970-01-01,KOL-LOC-031,PRO-131,100,567.93,56792.99999999999
SALE-000154,1970-W01,1970-01-01,1970-01-01,KOL-LOC-031,PRO-137,98,545.83,53491.340000000004
SALE-000155,1970-W01,1970-01-01,1970-01-01,KOL-LOC-031,PRO-136,95,32.76,3112.2
SALE-000156,1970-W01,1970-01-01,1970-01-01,KOL-LOC-032,PRO-131,128,62.73,8029.44
SALE-000157,1970-W01,1970-01-01,1970-01-01,KOL-LOC-032,PRO-137,118,63.88,7537.84
SALE-000158,1970-W01,1970-01-01,1970-01-01,KOL-LOC-032,PRO-136,108,155.74,16819.920000000002
SALE-000159,1970-W01,1970-01-01,1970-01-01,KOL-LOC-032,PRO-132,104,545.2,56700.8
SALE-000160,1970-W01,1970-01-01,1970-01-01,KOL-LOC-032,PRO-181,97,20.2,1959.3999999999999
SALE-000161,1970-W01,1970-01-01,1970-01-01,KOL-LOC-033,PRO-132,138,64.47,8896.86
SALE-000162,1970-W01,1970-01-01,1970-01-01,KOL-LOC-033,PRO-139,128,2370.7,303449.6
SALE-000163,1970-W01,1970-01-01,1970-01-01,KOL-LOC-033,PRO-042,119,17.74,2111.06
SALE-000164,1970-W01,1970-01-01,1970-01-01,KOL-LOC-033,PRO-136,115,66.23,7616.450000000001
SALE-000165,1970-W01,1970-01-01,1970-01-01,KOL-LOC-033,PRO-134,113,34.47,3895.1099999999997
SALE-000166,1970-W01,1970-01-01,1970-01-01,KOL-LOC-034,PRO-132,114,297.69,33936.659999999996
SALE-000167,1970-W01,1970-01-01,1970-01-01,KOL-LOC-034,PRO-131,113,63.16,7137.08
SALE-000168,1970-W01,1970-01-01,1970-01-01,KOL-LOC-034,PRO-139,112,1254.94,140553.28
SALE-000169,1970-W01,1970-01-01,1970-01-01,KOL-LOC-034,PRO-137,104,65.15,6775.6
SALE-000170,1970-W01,1970-01-01,1970-01-01,KOL-LOC-034,PRO-118,85,71.53,6080.05
SALE-000171,1970-W01,1970-01-01,1970-01-01,KOL-LOC-035,PRO-131,132,293.62,38757.840000000004
SALE-000172,1970-W01,1970-01-01,1970-01-01,KOL-LOC-035,PRO-137,130,556.19,72304.70000000001
SALE-000173,1970-W01,1970-01-01,1970-01-01,KOL-LOC-035,PRO-136,127,288.29,36612.83
SALE-000174,1970-W01,1970-01-01,1970-01-01,KOL-LOC-035,PRO-134,122,31.82,3882.04
SALE-000175,1970-W01,1970-01-01,1970-01-01,KOL-LOC-035,PRO-033,103,59.37,6115.11
SALE-000176,1970-W01,1970-01-01,1970-01-01,KOL-LOC-036,PRO-139,127,275.52,34991.04
SALE-000177,1970-W01,1970-01-01,1970-01-01,KOL-LOC-036,PRO-137,108,298.22,32207.760000000002
SALE-000178,1970-W01,1970-01-01,1970-01-01,KOL-LOC-036,PRO-132,98,298.83,29285.34
SALE-000179,1970-W01,1970-01-01,1970-01-01,KOL-LOC-036,PRO-181,94,172.22,16188.68
SALE-000180,1970-W01,1970-01-01,1970-01-01,KOL-LOC-036,PRO-042,84,157.65,13242.6
SALE-000181,1970-W01,1970-01-01,1970-01-01,KOL-LOC-037,PRO-136,107,277.68,29711.760000000002
SALE-000182,1970-W01,1970-01-01,1970-01-01,KOL-LOC-037,PRO-131,106,294.83,31251.98
SALE-000183,1970-W01,1970-01-01,1970-01-01,KOL-LOC-037,PRO-139,106,133.83,14185.980000000001
SALE-000184,1970-W01,1970-01-01,1970-01-01,KOL-LOC-037,PRO-132,98,144.86,14196.28
SALE-000185,1970-W01,1970-01-01,1970-01-01,KOL-LOC-037,PRO-181,82,11.55,947.1
SALE-000186,1970-W01,1970-01-01,1970-01-01,KOL-LOC-038,PRO-137,106,64.1,6794.599999999999
SALE-000187,1970-W01,1970-01-01,1970-01-01,KOL-LOC-038,PRO-132,100,65.92,6592.0
SALE-000188,1970-W01,1970-01-01,1970-01-01,KOL-LOC-038,PRO-131,99,64.33,6368.67
SALE-000189,1970-W01,1970-01-01,1970-01-01,KOL-LOC-038,PRO-181,95,20.42,1939.9
SALE-000190,1970-W01,1970-01-01,1970-01-01,KOL-LOC-038,PRO-042,84,83.36,7002.24
SALE-000191,1970-W01,1970-01-01,1970-01-01,KOL-LOC-039,PRO-139,103,1276.16,131444.48
SALE-000192,1970-W01,1970-01-01,1970-01-01,KOL-LOC-039,PRO-136,102,557.26,56840.52
SALE-000193,1970-W01,1970-01-01,1970-01-01,KOL-LOC-039,PRO-137,97,66.15,6416.55
SALE-000194,1970-W01,1970-01-01,1970-01-01,KOL-LOC-039,PRO-132,94,62.74,5897.56
SALE-000195,1970-W01,1970-01-01,1970-01-01,KOL-LOC-039,PRO-188,79,148.48,11729.92
SALE-000196,1970-W01,1970-01-01,1970-01-01,KOL-LOC-040,PRO-132,102,32.59,3324.1800000000003
SALE-000197,1970-W01,1970-01-01,1970-01-01,KOL-LOC-040,PRO-131,91,311.21,28320.109999999997
SALE-000198,1970-W01,1970-01-01,1970-01-01,KOL-LOC-040,PRO-181,88,11.9,1047.2
SALE-000199,2024-W01,2024-01-01,2024-01-07,KOL-LOC-040,PRO-139,86,284.25,24445.5
SALE-000200,2024-W01,2024-01-01,2024-01-07,KOL-LOC-040,PRO-137,84,33.16,2785.4399999999996
SALE-000201,2024-W01,2024-01-07,2024-01-13,KOL-LOC-001,PRO-139,104,271.39,28224.559999999998
SALE-000202,2024-W01,2024-01-07,2024-01-13,KOL-LOC-001,PRO-136,104,32.11,3339.44
SALE-000203,2024-W01,2024-01-07,2024-01-13,KOL-LOC-001,PRO-042,93,17.09,1589.37
SALE-000204,2024-W01,2024-01-07,2024-01-13,KOL-LOC-001,PRO-181,92,90.72,8346.24
SALE-000205,2024-W01,2024-01-07,2024-01-13,KOL-LOC-001,PRO-118,86,129.8,11162.800000000001
SALE-000206,2024-W01,2024-01-07,2024-01-13,KOL-LOC-002,PRO-139,132,654.9,86446.8
SALE-000207,2024-W01,2024-01-07,2024-01-13,KOL-LOC-002,PRO-132,120,583.76,70051.2
SALE-000208,2024-W01,2024-01-07,2024-01-13,KOL-LOC-002,PRO-131,120,143.45,17214.0
SALE-000209,2024-W01,2024-01-07,2024-01-13,KOL-LOC-002,PRO-134,117,33.7,3942.9000000000005
SALE-000210,2024-W01,2024-01-07,2024-01-13,KOL-LOC-002,PRO-118,99,17.5,1732.5
SALE-000211,2024-W01,2024-01-07,2024-01-13,KOL-LOC-003,PRO-132,110,596.65,65631.5
SALE-000212,2024-W01,2024-01-07,2024-01-13,KOL-LOC-003,PRO-139,88,139.0,12232.0
SALE-000213,2024-W01,2024-01-07,2024-01-13,KOL-LOC-003,PRO-189,85,304.22,25858.7
SALE-000214,2024-W01,2024-01-07,2024-01-13,KOL-LOC-003,PRO-131,85,63.52,5399.2
SALE-000215,2024-W01,2024-01-07,2024-01-13,KOL-LOC-003,PRO-134,84,33.12,2782.08
SALE-000216,2024-W01,2024-01-07,2024-01-13,KOL-LOC-004,PRO-136,132,64.23,8478.36
SALE-000217,2024-W01,2024-01-07,2024-01-13,KOL-LOC-004,PRO-139,119,142.06,16905.14
SALE-000218,2024-W01,2024-01-07,2024-01-13,KOL-LOC-004,PRO-137,115,282.2,32453.0
SALE-000219,2024-W01,2024-01-07,2024-01-13,KOL-LOC-004,PRO-131,107,576.98,61736.86
SALE-000220,2024-W01,2024-01-07,2024-01-13,KOL-LOC-004,PRO-133,91,544.52,49551.32
SALE-000221,2024-W01,2024-01-07,2024-01-13,KOL-LOC-005,PRO-132,133,532.39,70807.87
SALE-000222,2024-W01,2024-01-07,2024-01-13,KOL-LOC-005,PRO-042,115,151.56,17429.4
SALE-000223,2024-W01,2024-01-07,2024-01-13,KOL-LOC-005,PRO-137,114,160.99,18352.86
SALE-000224,2024-W01,2024-01-07,2024-01-13,KOL-LOC-005,PRO-181,101,177.6,17937.6
SALE-000225,2024-W01,2024-01-07,2024-01-13,KOL-LOC-005,PRO-136,98,292.76,28690.48
SALE-000226,2024-W01,2024-01-07,2024-01-13,KOL-LOC-006,PRO-136,105,289.93,30442.65
SALE-000227,2024-W01,2024-01-07,2024-01-13,KOL-LOC-006,PRO-132,101,64.59,6523.59
SALE-000228,2024-W01,2024-01-07,2024-01-13,KOL-LOC-006,PRO-139,98,662.15,64890.7
SALE-000229,2024-W01,2024-01-07,2024-01-13,KOL-LOC-006,PRO-134,96,65.18,6257.280000000001
SALE-000230,2024-W01,2024-01-07,2024-01-13,KOL-LOC-006,PRO-042,84,161.06,13529.04
SALE-000231,2024-W01,2024-01-07,2024-01-13,KOL-LOC-007,PRO-139,113,269.26,30426.379999999997
SALE-000232,2024-W01,2024-01-07,2024-01-13,KOL-LOC-007,PRO-131,106,152.62,16177.720000000001
SALE-000233,2024-W01,2024-01-07,2024-01-13,KOL-LOC-007,PRO-132,100,291.07,29107.0
SALE-000234,2024-W01,2024-01-07,2024-01-13,KOL-LOC-007,PRO-136,94,295.67,27792.980000000003
SALE-000235,2024-W01,2024-01-07,2024-01-13,KOL-LOC-007,PRO-134,94,31.27,2939.38
SALE-000236,2024-W01,2024-01-07,2024-01-13,KOL-LOC-008,PRO-137,114,65.57,7474.98
SALE-000237,2024-W01,2024-01-07,2024-01-13,KOL-LOC-008,PRO-181,101,179.69,18148.69
SALE-000238,2024-W01,2024-01-07,2024-01-13,KOL-LOC-008,PRO-131,89,150.08,13357.12
SALE-000239,2024-W01,2024-01-07,2024-01-13,KOL-LOC-008,PRO-007,88,50.99,4487.12
SALE-000240,2024-W01,2024-01-07,2024-01-13,KOL-LOC-008,PRO-136,87,573.91,49930.17
SALE-000241,2024-W01,2024-01-07,2024-01-13,KOL-LOC-009,PRO-139,110,2371.98,260917.8
SALE-000242,2024-W01,2024-01-07,2024-01-13,KOL-LOC-009,PRO-131,100,294.14,29414.0
SALE-000243,2024-W01,2024-01-07,2024-01-13,KOL-LOC-009,PRO-136,96,287.16,27567.36
SALE-000244,2024-W01,2024-01-07,2024-01-13,KOL-LOC-009,PRO-137,94,64.3,6044.2
SALE-000245,2024-W01,2024-01-07,2024-01-13,KOL-LOC-009,PRO-042,93,17.47,1624.7099999999998
SALE-000246,2024-W01,2024-01-07,2024-01-13,KOL-LOC-010,PRO-139,113,273.35,30888.550000000003
SALE-000247,2024-W01,2024-01-07,2024-01-13,KOL-LOC-010,PRO-132,109,62.57,6820.13
SALE-000248,2024-W01,2024-01-07,2024-01-13,KOL-LOC-010,PRO-136,98,572.72,56126.560000000005
SALE-000249,2024-W01,2024-01-07,2024-01-13,KOL-LOC-010,PRO-042,80,157.99,12639.2
SALE-000250,2024-W01,2024-01-07,2024-01-13,KOL-LOC-010,PRO-133,74,33.78,2499.7200000000003
SALE-000251,2024-W01,2024-01-07,2024-01-13,KOL-LOC-011,PRO-139,119,1215.98,144701.62
SALE-000252,2024-W01,2024-01-07,2024-01-13,KOL-LOC-011,PRO-131,107,66.72,7139.04
