warehouse_id,product_id,product_name,category_name,brand,unit_size,shelf_id,bin_id,zone_id,rack_id,shelf_level,slot_no,slot_capacity_units,opening_stock_units,received_units,current_stock_units,reserved_stock_units,available_stock_units,damaged_units,cost_price_rs,selling_price_rs,stock_value_rs,potential_sales_value_rs,margin_per_unit_rs,avg_weekly_demand_units,weeks_of_cover,target_stock_units,shortage_units,reorder_flag,stock_status,snapshot_date,inventory_risk,weeks_of_cover_calc,reorder_flag_calc,stock_cost_value_rs,available_sales_value_rs,source_file,standardized_at
WH-KOL-001,CHO-004,Cadbury Perk,Chocolates & Confectionery,Cadbury,20 g,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B04,Z01,R01,S03,4,200,47,15,46,3,43,0,62.0,71.4,,,9.4,5.5,,11.0,0.0,,Healthy,2026-08-31,NORMAL,7.82,0,2852.0,3070.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-005,Nestlé KitKat,Chocolates & Confectionery,Nestlé,20 g,WH-KOL-001-Z01-R01-S03,WH-KOL-001-Z01-R01-S03-B05,Z01,R01,S03,5,200,56,56,49,2,47,0,62.0,71.4,,,9.4,5.1,,10.2,0.0,,Healthy,2026-08-31,NORMAL,9.22,0,3038.0,3355.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-006,Nestlé Munch,Chocolates & Confectionery,Nestlé,20 g,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B01,Z01,R01,S04,1,200,76,50,61,5,56,0,62.0,71.4,,,9.4,5.6,,11.2,0.0,,Healthy,2026-08-31,NORMAL,10.0,0,3782.0,3998.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-007,Amul Dark Chocolate,Chocolates & Confectionery,Amul,20 g,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B02,Z01,R01,S04,2,200,46,49,45,2,43,0,63.6,73.2,,,9.6,6.3,,12.6,0.0,,Healthy,2026-08-31,NORMAL,6.83,0,2862.0,3147.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-008,Ferrero Rocher,Chocolates & Confectionery,Ferrero,20 g,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B03,Z01,R01,S04,3,200,56,49,54,2,52,0,468.0,538.2,,,70.2,5.2,,10.4,0.0,,Healthy,2026-08-31,NORMAL,10.0,0,25272.0,27986.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-009,Cadbury Gems,Chocolates & Confectionery,Cadbury,20 g,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B04,Z01,R01,S04,4,200,49,18,38,2,36,0,62.0,71.4,,,9.4,6.6,,13.2,0.0,,Healthy,2026-08-31,NORMAL,5.45,0,2356.0,2570.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,CHO-010,Parle Melody Toffee Pack,Chocolates & Confectionery,Parle,20 g,WH-KOL-001-Z01-R01-S04,WH-KOL-001-Z01-R01-S04-B05,Z01,R01,S04,5,200,72,20,62,5,57,0,62.0,71.4,,,9.4,4.6,,9.2,0.0,,Healthy,2026-08-31,NORMAL,12.39,0,3844.0,4069.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-001,Lay's Classic Salted,Chips & Namkeen,Lay's,50 g,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B01,Z01,R01,S05,1,200,77,30,74,5,69,0,52.2,60.0,,,7.8,43.6,,87.2,18.2,,Healthy,2026-08-31,NORMAL,1.58,1,3862.8,4140.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-002,Lay's Magic Masala,Chips & Namkeen,Lay's,50 g,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B02,Z01,R01,S05,2,200,108,57,99,3,96,0,52.2,60.0,,,7.8,65.0,,130.0,34.0,,Healthy,2026-08-31,NORMAL,1.48,1,5167.8,5760.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-003,Lay's Cream & Onion,Chips & Namkeen,Lay's,50 g,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B03,Z01,R01,S05,3,200,67,51,55,2,53,0,52.2,60.0,,,7.8,16.9,,33.8,0.0,,Healthy,2026-08-31,NORMAL,3.14,0,2871.0,3180.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-004,Bingo Original Style,Chips & Namkeen,Bingo,50 g,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B04,Z01,R01,S05,4,200,95,59,93,9,84,0,52.2,60.0,,,7.8,53.7,,107.4,23.4,,Healthy,2026-08-31,NORMAL,1.56,1,4854.6,5040.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-005,Kurkure Masala Munch,Chips & Namkeen,Kurkure,50 g,WH-KOL-001-Z01-R01-S05,WH-KOL-001-Z01-R01-S05-B05,Z01,R01,S05,5,200,78,12,61,6,55,0,52.2,60.0,,,7.8,24.5,,49.0,0.0,,Healthy,2026-08-31,NORMAL,2.24,0,3184.2,3300.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-006,Haldiram's Aloo Bhujia,Chips & Namkeen,Haldiram's,50 g,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B01,Z01,R02,S01,1,200,93,28,82,6,76,0,52.2,60.0,,,7.8,37.2,,74.4,0.0,,Healthy,2026-08-31,NORMAL,2.04,0,4280.4,4560.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-007,Haldiram's Moong Dal,Chips & Namkeen,Haldiram's,50 g,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B02,Z01,R02,S01,2,200,85,35,66,4,62,0,52.2,60.0,,,7.8,23.2,,46.4,0.0,,Healthy,2026-08-31,NORMAL,2.67,0,3445.2,3720.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-008,Bikaji Bikaneri Bhujia,Chips & Namkeen,Bikaji,50 g,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B03,Z01,R02,S01,3,200,117,28,102,10,92,1,52.2,60.0,,,7.8,63.3,,126.6,34.6,,Healthy,2026-08-31,NORMAL,1.45,1,5324.4,5520.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-009,Uncle Chipps Plain Salted,Chips & Namkeen,Uncle Chipps,50 g,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B04,Z01,R02,S01,4,200,129,26,106,3,103,1,52.2,60.0,,,7.8,64.3,,128.6,25.6,,Healthy,2026-08-31,NORMAL,1.6,1,5533.2,6180.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,SNK-010,Balaji Wafers Masala,Chips & Namkeen,Balaji,50 g,WH-KOL-001-Z01-R02-S01,WH-KOL-001-Z01-R02-S01-B05,Z01,R02,S01,5,200,126,54,108,5,103,0,52.2,60.0,,,7.8,76.1,,152.2,49.2,,Healthy,2026-08-31,NORMAL,1.35,1,5637.6,6180.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-001,Coca-Cola,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S02,WH-KOL-001-Z01-R02-S02-B01,Z01,R02,S02,1,200,92,56,86,7,79,0,40.0,46.0,,,6.0,108.4,,216.8,137.8,,Healthy,2026-08-31,NORMAL,0.73,1,3440.0,3634.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-002,Thums Up,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S02,WH-KOL-001-Z01-R02-S02-B02,Z01,R02,S02,2,200,102,2,94,6,88,0,40.0,46.0,,,6.0,66.9,,133.8,45.8,,Healthy,2026-08-31,NORMAL,1.32,1,3760.0,4048.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-003,Sprite,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S02,WH-KOL-001-Z01-R02-S02-B03,Z01,R02,S02,3,200,122,34,101,8,93,0,40.0,46.0,,,6.0,88.3,,176.6,83.6,,Healthy,2026-08-31,NORMAL,1.05,1,4040.0,4278.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-004,Limca,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S02,WH-KOL-001-Z01-R02-S02-B04,Z01,R02,S02,4,200,138,8,109,4,105,0,40.0,46.0,,,6.0,126.7,,253.4,148.4,,Healthy,2026-08-31,NORMAL,0.83,1,4360.0,4830.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-005,Fanta Orange,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S02,WH-KOL-001-Z01-R02-S02-B05,Z01,R02,S02,5,200,159,12,133,13,120,0,40.0,46.0,,,6.0,110.1,,220.2,100.2,,Healthy,2026-08-31,NORMAL,1.09,1,5320.0,5520.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-006,Maaza Mango,Soft Drinks & Beverages,Coca-Cola,200 ml,WH-KOL-001-Z01-R02-S03,WH-KOL-001-Z01-R02-S03-B01,Z01,R02,S03,1,200,102,6,99,6,93,0,40.0,46.0,,,6.0,95.1,,190.2,97.2,,Healthy,2026-08-31,NORMAL,0.98,1,3960.0,4278.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-007,Frooti Mango,Soft Drinks & Beverages,Parle Agro,200 ml,WH-KOL-001-Z01-R02-S03,WH-KOL-001-Z01-R02-S03-B02,Z01,R02,S03,2,200,95,36,84,6,78,0,36.0,41.4,,,5.4,88.0,,176.0,98.0,,Healthy,2026-08-31,NORMAL,0.89,1,3024.0,3229.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-008,Paper Boat Aam Panna,Soft Drinks & Beverages,Paper Boat,200 ml,WH-KOL-001-Z01-R02-S03,WH-KOL-001-Z01-R02-S03-B03,Z01,R02,S03,3,200,109,56,93,9,84,0,84.8,97.4,,,12.6,76.5,,153.0,69.0,,Healthy,2026-08-31,NORMAL,1.1,1,7886.4,8181.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-009,Red Bull Energy Drink,Soft Drinks & Beverages,Red Bull,200 ml,WH-KOL-001-Z01-R02-S03,WH-KOL-001-Z01-R02-S03-B04,Z01,R02,S03,4,200,49,31,48,2,46,0,722.4,830.6,,,108.2,26.1,,52.2,6.2,,Healthy,2026-08-31,NORMAL,1.76,1,34675.2,38207.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BEV-010,Kinley Mineral Water,Soft Drinks & Beverages,Kinley,200 ml,WH-KOL-001-Z01-R02-S03,WH-KOL-001-Z01-R02-S03-B05,Z01,R02,S03,5,200,100,30,94,6,88,0,36.0,41.4,,,5.4,75.6,,151.2,63.2,,Healthy,2026-08-31,NORMAL,1.16,1,3384.0,3643.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-001,Amul Full Cream Milk,Dairy & Milk Products,Amul,200 ml,WH-KOL-001-Z01-R02-S04,WH-KOL-001-Z01-R02-S04-B01,Z01,R02,S04,1,200,69,42,57,4,53,0,319.0,367.0,,,48.0,28.5,,57.0,4.0,,Healthy,2026-08-31,NORMAL,1.86,1,18183.0,19451.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-002,Amul Taaza Toned Milk,Dairy & Milk Products,Amul,200 ml,WH-KOL-001-Z01-R02-S04,WH-KOL-001-Z01-R02-S04-B02,Z01,R02,S04,2,200,113,14,96,7,89,0,59.8,68.8,,,9.0,61.0,,122.0,33.0,,Healthy,2026-08-31,NORMAL,1.46,1,5740.8,6123.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-003,Mother Dairy Toned Milk,Dairy & Milk Products,Mother Dairy,200 ml,WH-KOL-001-Z01-R02-S04,WH-KOL-001-Z01-R02-S04-B03,Z01,R02,S04,3,200,54,1,49,5,44,0,58.8,67.8,,,9.0,19.2,,38.4,0.0,,Healthy,2026-08-31,NORMAL,2.29,0,2881.2,2983.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-004,Amul Masti Dahi,Dairy & Milk Products,Amul,100 g,WH-KOL-001-Z01-R02-S04,WH-KOL-001-Z01-R02-S04-B04,Z01,R02,S04,4,200,57,30,52,5,47,0,70.0,80.6,,,10.6,23.4,,46.8,0.0,,Healthy,2026-08-31,NORMAL,2.01,0,3640.0,3788.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-005,Mother Dairy Curd,Dairy & Milk Products,Mother Dairy,100 g,WH-KOL-001-Z01-R02-S04,WH-KOL-001-Z01-R02-S04-B05,Z01,R02,S04,5,200,164,38,139,5,134,0,68.8,79.2,,,10.4,107.8,,215.6,81.6,,Healthy,2026-08-31,NORMAL,1.24,1,9563.2,10612.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-006,Amul Butter,Dairy & Milk Products,Amul,100 g,WH-KOL-001-Z01-R02-S05,WH-KOL-001-Z01-R02-S05-B01,Z01,R02,S05,1,200,84,18,70,7,63,0,428.2,492.2,,,64.0,25.2,,50.4,0.0,,Healthy,2026-08-31,NORMAL,2.5,0,29974.0,31008.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-007,Amul Paneer,Dairy & Milk Products,Amul,100 g,WH-KOL-001-Z01-R02-S05,WH-KOL-001-Z01-R02-S05-B02,Z01,R02,S05,2,200,83,57,61,4,57,0,309.8,356.2,,,46.4,23.7,,47.4,0.0,,Healthy,2026-08-31,NORMAL,2.41,0,18897.8,20303.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-008,Amul Cheese Slices,Dairy & Milk Products,Amul,100 g,WH-KOL-001-Z01-R02-S05,WH-KOL-001-Z01-R02-S05-B03,Z01,R02,S05,3,200,81,27,54,5,49,0,383.6,441.0,,,57.4,28.3,,56.6,7.6,,Healthy,2026-08-31,NORMAL,1.73,1,20714.4,21609.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-009,Epigamia Greek Yogurt,Dairy & Milk Products,Epigamia,100 g,WH-KOL-001-Z01-R02-S05,WH-KOL-001-Z01-R02-S05-B04,Z01,R02,S05,4,200,78,50,48,5,43,0,705.6,811.2,,,105.6,18.9,,37.8,0.0,,Healthy,2026-08-31,NORMAL,2.28,0,33868.8,34881.6,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,DAI-010,Amul Fresh Cream,Dairy & Milk Products,Amul,200 ml,WH-KOL-001-Z01-R02-S05,WH-KOL-001-Z01-R02-S05-B05,Z01,R02,S05,5,200,148,48,120,7,113,1,319.0,367.0,,,48.0,75.2,,150.4,37.4,,Healthy,2026-08-31,NORMAL,1.5,1,38280.0,41471.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-001,Britannia White Bread,Bread & Bakery,Britannia,200 g,WH-KOL-001-Z02-R01-S01,WH-KOL-001-Z02-R01-S01-B01,Z02,R01,S01,1,200,68,24,42,3,39,0,42.8,49.2,,,6.4,22.7,,45.4,6.4,,Healthy,2026-08-31,NORMAL,1.72,1,1797.6,1918.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-002,Britannia Brown Bread,Bread & Bakery,Britannia,200 g,WH-KOL-001-Z02-R01-S01,WH-KOL-001-Z02-R01-S01-B02,Z02,R01,S01,2,200,74,21,54,3,51,0,42.8,49.2,,,6.4,31.7,,63.4,12.4,,Healthy,2026-08-31,NORMAL,1.61,1,2311.2,2509.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-003,Modern Milk Bread,Bread & Bakery,Modern,200 g,WH-KOL-001-Z02-R01-S01,WH-KOL-001-Z02-R01-S01-B03,Z02,R01,S01,3,200,107,56,85,8,77,0,42.8,49.2,,,6.4,63.8,,127.6,50.6,,Healthy,2026-08-31,NORMAL,1.21,1,3638.0,3788.4,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-004,Harvest Gold White Bread,Bread & Bakery,Harvest Gold,200 g,WH-KOL-001-Z02-R01-S01,WH-KOL-001-Z02-R01-S01-B04,Z02,R01,S01,4,200,122,0,101,10,91,1,42.8,49.2,,,6.4,105.4,,210.8,119.8,,Healthy,2026-08-31,NORMAL,0.86,1,4322.8,4477.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-005,Britannia Fruit Cake,Bread & Bakery,Britannia,200 g,WH-KOL-001-Z02-R01-S01,WH-KOL-001-Z02-R01-S01-B05,Z02,R01,S01,5,200,54,36,40,1,39,0,162.4,186.8,,,24.4,23.9,,47.8,8.8,,Healthy,2026-08-31,NORMAL,1.63,1,6496.0,7285.2,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-006,Monginis Chocolate Cake,Bread & Bakery,Monginis,200 g,WH-KOL-001-Z02-R01-S02,WH-KOL-001-Z02-R01-S02-B01,Z02,R01,S02,1,200,50,26,49,3,46,0,162.4,186.8,,,24.4,22.0,,44.0,0.0,,Healthy,2026-08-31,NORMAL,2.09,0,7957.6,8592.8,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-007,Monginis Cream Roll,Bread & Bakery,Monginis,200 g,WH-KOL-001-Z02-R01-S02,WH-KOL-001-Z02-R01-S02-B02,Z02,R01,S02,2,200,72,23,55,5,50,0,85.6,98.4,,,12.8,22.1,,44.2,0.0,,Healthy,2026-08-31,NORMAL,2.26,0,4708.0,4920.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-008,Modern Sandwich Bread,Bread & Bakery,Modern,200 g,WH-KOL-001-Z02-R01-S02,WH-KOL-001-Z02-R01-S02-B03,Z02,R01,S02,3,200,85,37,57,2,55,0,42.8,49.2,,,6.4,25.8,,51.6,0.0,,Healthy,2026-08-31,NORMAL,2.13,0,2439.6,2706.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,BAK-009,Britannia Croissant,Bread & Bakery,Britannia,200 g,WH-KOL-001-Z02-R01-S02,WH-KOL-001-Z02-R01-S02-B04,Z02,R01,S02,4,200,82,32,55,2,53,0,94.0,108.0,,,14.0,26.7,,53.4,0.4,,Healthy,2026-08-31,NORMAL,1.99,1,5170.0,5724.0,inventory_stock.xlsx/Inventory_Position+Inventory_Control,2026-09-21T14:25:30.977573+00:00
