supplier_product_key,supplier_id,supplier_type_id,supplier_type_name,product_id,product_name,category_code,category_name,unit_type,supplier_cost_price_rs,unmapped_col_10_quarantine,supplied_unit_size,supply_status,source_file,standardized_at
SUP-KOL-001-02_FLO-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-003,Pillsbury Chakki Fresh Atta,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-004,Annapurna Atta,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-005,Aashirvaad Multigrain Atta,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-006,Tata Sampann Besan,FLO,"Flour, Atta & Baking Essentials",g,37,37.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-007,Fortune Maida,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-008,Rajdhani Besan,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-009,Pillsbury Maida,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_FLO-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-010,Baking Soda,FLO,"Flour, Atta & Baking Essentials",g,34,34.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-001,Tata Sampann Toor Dal,DAL,Pulses & Dal,g,96,96.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-002,Tata Sampann Moong Dal,DAL,Pulses & Dal,g,96,96.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-003,Tata Sampann Masoor Dal,DAL,Pulses & Dal,g,96,96.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-004,Fortune Chana Dal,DAL,Pulses & Dal,g,88,88.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-005,Fortune Urad Dal,DAL,Pulses & Dal,g,88,88.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-006,India Gate Moong Dal,DAL,Pulses & Dal,g,98,98.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-007,India Gate Masoor Dal,DAL,Pulses & Dal,g,98,98.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-008,Tata Sampann Rajma,DAL,Pulses & Dal,g,96,96.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-009,Tata Sampann Kabuli Chana,DAL,Pulses & Dal,g,96,96.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_DAL-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-010,Organic Tattva Moong Dal,DAL,Pulses & Dal,g,118,118.0,500 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-001,Fortune Sunflower Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-002,Fortune Rice Bran Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-003,Saffola Gold Oil,OIL,Cooking Oil & Ghee,ml,100,100.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-004,Saffola Active Oil,OIL,Cooking Oil & Ghee,ml,100,100.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-005,Emami Healthy & Tasty Mustard Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-006,Fortune Soyabean Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-007,Gemini Refined Sunflower Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-008,Dhara Mustard Oil,OIL,Cooking Oil & Ghee,ml,85,85.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-009,Amul Pure Ghee,OIL,Cooking Oil & Ghee,ml,408,408.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-02_OIL-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-010,Patanjali Cow Ghee,OIL,Cooking Oil & Ghee,ml,400,400.0,500 ml,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-001,Cadbury Dairy Milk,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-002,Cadbury 5 Star,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-003,Cadbury Silk,CHO,Chocolates & Confectionery,g,25,25.2,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-004,Cadbury Perk,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-005,Nestlé KitKat,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-006,Nestlé Munch,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-007,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-007,Amul Dark Chocolate,CHO,Chocolates & Confectionery,g,18,18.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-008,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-008,Ferrero Rocher,CHO,Chocolates & Confectionery,g,129,130.03,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-009,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-009,Cadbury Gems,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_CHO-010,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-010,Parle Melody Toffee Pack,CHO,Chocolates & Confectionery,g,17,17.14,20 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-001,Lay's Classic Salted,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-002,Lay's Magic Masala,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-003,Lay's Cream & Onion,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-004,Bingo Original Style,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-005,Kurkure Masala Munch,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
SUP-KOL-001-03_SNK-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-006,Haldiram's Aloo Bhujia,SNK,Chips & Namkeen,g,16,16.13,50 g,Available,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T14:25:30.977573+00:00
