warehouse_id,shelf_id,zone_id,rack_id,shelf_level,shelf_capacity_units,product_slots,used_units,free_units,space_utilization_pct,source_file,standardized_at
WH-KOL-001,WH-KOL-001-Z02-R02-S04,Z02,R02,S04,1000,5,244,756,24.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z02-R02-S05,Z02,R02,S05,1000,5,260,740,26.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S01,Z03,R01,S01,1000,5,278,722,27.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S02,Z03,R01,S02,1000,5,283,717,28.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S03,Z03,R01,S03,1000,5,273,727,27.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S04,Z03,R01,S04,1000,5,340,660,34.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R01-S05,Z03,R01,S05,1000,5,290,710,29.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S01,Z03,R02,S01,1000,5,281,719,28.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S02,Z03,R02,S02,1000,5,373,627,37.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S03,Z03,R02,S03,1000,5,405,595,40.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S04,Z03,R02,S04,1000,5,274,726,27.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z03-R02-S05,Z03,R02,S05,1000,5,252,748,25.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S01,Z04,R01,S01,1000,5,240,760,24.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S02,Z04,R01,S02,1000,5,246,754,24.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S03,Z04,R01,S03,1000,5,225,775,22.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S04,Z04,R01,S04,1000,5,252,748,25.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R01-S05,Z04,R01,S05,1000,5,233,767,23.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S01,Z04,R02,S01,1000,5,234,766,23.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S02,Z04,R02,S02,1000,5,360,640,36.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S03,Z04,R02,S03,1000,5,438,562,43.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S04,Z04,R02,S04,1000,5,270,730,27.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-001,WH-KOL-001-Z04-R02-S05,Z04,R02,S05,1000,5,261,739,26.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S01,Z01,R01,S01,1000,5,325,675,32.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S02,Z01,R01,S02,1000,5,313,687,31.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S03,Z01,R01,S03,1000,5,193,807,19.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S04,Z01,R01,S04,1000,5,230,770,23.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R01-S05,Z01,R01,S05,1000,5,293,707,29.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S01,Z01,R02,S01,1000,5,310,690,31.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S02,Z01,R02,S02,1000,5,410,590,41.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S03,Z01,R02,S03,1000,5,351,649,35.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S04,Z01,R02,S04,1000,5,352,648,35.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z01-R02-S05,Z01,R02,S05,1000,5,267,733,26.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S01,Z02,R01,S01,1000,5,255,745,25.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S02,Z02,R01,S02,1000,5,213,787,21.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S03,Z02,R01,S03,1000,5,229,771,22.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S04,Z02,R01,S04,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R01-S05,Z02,R01,S05,1000,5,242,758,24.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S01,Z02,R02,S01,1000,5,204,796,20.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S02,Z02,R02,S02,1000,5,198,802,19.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S03,Z02,R02,S03,1000,5,216,784,21.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S04,Z02,R02,S04,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z02-R02-S05,Z02,R02,S05,1000,5,192,808,19.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S01,Z03,R01,S01,1000,5,206,794,20.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S02,Z03,R01,S02,1000,5,207,793,20.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S03,Z03,R01,S03,1000,5,217,783,21.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S04,Z03,R01,S04,1000,5,238,762,23.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R01-S05,Z03,R01,S05,1000,5,217,783,21.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S01,Z03,R02,S01,1000,5,241,759,24.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S02,Z03,R02,S02,1000,5,358,642,35.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S03,Z03,R02,S03,1000,5,367,633,36.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S04,Z03,R02,S04,1000,5,225,775,22.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z03-R02-S05,Z03,R02,S05,1000,5,201,799,20.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S01,Z04,R01,S01,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S02,Z04,R01,S02,1000,5,208,792,20.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S03,Z04,R01,S03,1000,5,189,811,18.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S04,Z04,R01,S04,1000,5,215,785,21.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R01-S05,Z04,R01,S05,1000,5,182,818,18.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R02-S01,Z04,R02,S01,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R02-S02,Z04,R02,S02,1000,5,281,719,28.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R02-S03,Z04,R02,S03,1000,5,341,659,34.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R02-S04,Z04,R02,S04,1000,5,224,776,22.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-002,WH-KOL-002-Z04-R02-S05,Z04,R02,S05,1000,5,213,787,21.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R01-S01,Z01,R01,S01,1000,5,336,664,33.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R01-S02,Z01,R01,S02,1000,5,347,653,34.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R01-S03,Z01,R01,S03,1000,5,237,763,23.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R01-S04,Z01,R01,S04,1000,5,197,803,19.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R01-S05,Z01,R01,S05,1000,5,376,624,37.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R02-S01,Z01,R02,S01,1000,5,365,635,36.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R02-S02,Z01,R02,S02,1000,5,431,569,43.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R02-S03,Z01,R02,S03,1000,5,416,584,41.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R02-S04,Z01,R02,S04,1000,5,360,640,36.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z01-R02-S05,Z01,R02,S05,1000,5,285,715,28.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R01-S01,Z02,R01,S01,1000,5,271,729,27.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R01-S02,Z02,R01,S02,1000,5,235,765,23.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R01-S03,Z02,R01,S03,1000,5,242,758,24.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R01-S04,Z02,R01,S04,1000,5,249,751,24.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R01-S05,Z02,R01,S05,1000,5,216,784,21.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R02-S01,Z02,R02,S01,1000,5,242,758,24.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R02-S02,Z02,R02,S02,1000,5,230,770,23.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R02-S03,Z02,R02,S03,1000,5,240,760,24.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R02-S04,Z02,R02,S04,1000,5,206,794,20.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z02-R02-S05,Z02,R02,S05,1000,5,237,763,23.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R01-S01,Z03,R01,S01,1000,5,224,776,22.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R01-S02,Z03,R01,S02,1000,5,268,732,26.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R01-S03,Z03,R01,S03,1000,5,261,739,26.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R01-S04,Z03,R01,S04,1000,5,330,670,33.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R01-S05,Z03,R01,S05,1000,5,270,730,27.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R02-S01,Z03,R02,S01,1000,5,263,737,26.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R02-S02,Z03,R02,S02,1000,5,355,645,35.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R02-S03,Z03,R02,S03,1000,5,382,618,38.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R02-S04,Z03,R02,S04,1000,5,216,784,21.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z03-R02-S05,Z03,R02,S05,1000,5,226,774,22.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R01-S01,Z04,R01,S01,1000,5,217,783,21.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R01-S02,Z04,R01,S02,1000,5,226,774,22.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R01-S03,Z04,R01,S03,1000,5,238,762,23.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R01-S04,Z04,R01,S04,1000,5,255,745,25.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R01-S05,Z04,R01,S05,1000,5,234,766,23.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R02-S01,Z04,R02,S01,1000,5,241,759,24.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R02-S02,Z04,R02,S02,1000,5,336,664,33.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R02-S03,Z04,R02,S03,1000,5,407,593,40.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R02-S04,Z04,R02,S04,1000,5,229,771,22.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-003,WH-KOL-003-Z04-R02-S05,Z04,R02,S05,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R01-S01,Z01,R01,S01,1000,5,351,649,35.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R01-S02,Z01,R01,S02,1000,5,364,636,36.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R01-S03,Z01,R01,S03,1000,5,236,764,23.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R01-S04,Z01,R01,S04,1000,5,232,768,23.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R01-S05,Z01,R01,S05,1000,5,306,694,30.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R02-S01,Z01,R02,S01,1000,5,380,620,38.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R02-S02,Z01,R02,S02,1000,5,442,558,44.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R02-S03,Z01,R02,S03,1000,5,407,593,40.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R02-S04,Z01,R02,S04,1000,5,377,623,37.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z01-R02-S05,Z01,R02,S05,1000,5,271,729,27.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R01-S01,Z02,R01,S01,1000,5,303,697,30.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R01-S02,Z02,R01,S02,1000,5,247,753,24.7,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R01-S03,Z02,R01,S03,1000,5,225,775,22.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R01-S04,Z02,R01,S04,1000,5,228,772,22.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R01-S05,Z02,R01,S05,1000,5,201,799,20.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R02-S01,Z02,R02,S01,1000,5,212,788,21.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R02-S02,Z02,R02,S02,1000,5,249,751,24.9,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R02-S03,Z02,R02,S03,1000,5,205,795,20.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R02-S04,Z02,R02,S04,1000,5,205,795,20.5,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z02-R02-S05,Z02,R02,S05,1000,5,206,794,20.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R01-S01,Z03,R01,S01,1000,5,206,794,20.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R01-S02,Z03,R01,S02,1000,5,250,750,25.0,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R01-S03,Z03,R01,S03,1000,5,232,768,23.2,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R01-S04,Z03,R01,S04,1000,5,258,742,25.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R01-S05,Z03,R01,S05,1000,5,256,744,25.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R02-S01,Z03,R02,S01,1000,5,246,754,24.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R02-S02,Z03,R02,S02,1000,5,453,547,45.3,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R02-S03,Z03,R02,S03,1000,5,366,634,36.6,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R02-S04,Z03,R02,S04,1000,5,228,772,22.8,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z03-R02-S05,Z03,R02,S05,1000,5,231,769,23.1,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z04-R01-S01,Z04,R01,S01,1000,5,224,776,22.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
WH-KOL-004,WH-KOL-004-Z04-R01-S02,Z04,R01,S02,1000,5,224,776,22.4,inventory_stock.xlsx/Shelf_Master,2026-09-21T14:25:30.977573+00:00
