supplier_product_key,supplier_id,supplier_type_id,supplier_type_name,product_id,supplier_cost_price_rs,supplied_unit_size,supply_status,unmapped_col_10_quarantine,source_file,pipeline_timestamp
SUP-KOL-001-01_DAI-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-007,47,100 g,Available,46.62,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-008,58,100 g,Available,57.54,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-009,107,100 g,Available,106.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_DAI-010,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,DAI-010,85,200 ml,Available,84.32,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-001,55,250 g,Available,54.56,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-002,35,1 dozen,Available,34.72,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-003,40,250 g,Available,39.68,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-004,24,250 g,Available,23.81,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-005,21,250 g,Available,20.83,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-006,16,250 g,Available,15.87,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-007,55,250 g,Available,54.56,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-008,55,1 piece,Available,54.56,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-009,45,250 g,Available,44.64,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_FRT-010,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,FRT-010,65,1 piece,Available,64.48,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-001,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-001,10,250 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-002,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-002,12,250 g,Available,11.9,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-003,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-003,13,250 g,Available,12.9,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-004,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-004,14,100 g,Available,13.89,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-005,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-005,50,1 piece,Available,49.6,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-006,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-006,10,100 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-007,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-007,10,100 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-008,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-008,10,100 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-009,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-009,14,100 g,Available,13.89,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-01_VEG-010,SUP-KOL-001-01,SUP-T01,Fresh Produce & Chilled,VEG-010,10,100 g,Available,9.92,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-001,40,500 g,Available,40.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-002,40,500 g,Available,40.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-003,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-004,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-005,40,500 g,Available,40.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-006,40,500 g,Available,40.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-007,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-008,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-009,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_STP-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,STP-010,36,500 g,Available,36.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-001,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-002,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-003,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-004,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-005,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-006,37,500 g,Available,37.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-007,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-008,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-009,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_FLO-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,FLO-010,34,500 g,Available,34.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-001,96,500 g,Available,96.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-002,96,500 g,Available,96.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-003,96,500 g,Available,96.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-004,88,500 g,Available,88.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-005,88,500 g,Available,88.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-006,98,500 g,Available,98.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-007,98,500 g,Available,98.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-008,96,500 g,Available,96.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-009,96,500 g,Available,96.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_DAL-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,DAL-010,118,500 g,Available,118.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-001,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-001,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-002,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-002,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-003,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-003,100,500 ml,Available,100.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-004,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-004,100,500 ml,Available,100.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-005,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-005,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-006,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-006,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-007,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-007,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-008,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-008,85,500 ml,Available,85.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-009,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-009,408,500 ml,Available,408.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-02_OIL-010,SUP-KOL-001-02,SUP-T02,Staples & Cooking,OIL-010,400,500 ml,Available,400.0,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-001,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-002,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-003,25,20 g,Available,25.2,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-004,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-005,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-006,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-007,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-007,18,20 g,Available,18.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-008,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-008,129,20 g,Available,130.03,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-009,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-009,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_CHO-010,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,CHO-010,17,20 g,Available,17.14,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-001,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-002,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-003,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-004,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-005,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-006,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-007,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-007,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-008,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-008,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-009,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-009,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_SNK-010,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,SNK-010,16,50 g,Available,16.13,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-001,21,200 g,Available,21.17,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-002,21,200 g,Available,21.17,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-003,21,200 g,Available,21.17,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-004,21,200 g,Available,21.17,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-005,79,200 g,Available,79.63,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-006,79,200 g,Available,79.63,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-007,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-007,42,200 g,Available,42.34,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-008,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-008,21,200 g,Available,21.17,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-009,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-009,46,200 g,Available,46.37,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BAK-010,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BAK-010,206,200 g,Available,207.65,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-001,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-002,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-002,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-003,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-003,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-004,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-004,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-005,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-005,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-006,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-006,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-007,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-007,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-008,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-008,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-009,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-009,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_BIS-010,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,BIS-010,8,50 g,Available,8.06,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
SUP-KOL-001-03_INS-001,SUP-KOL-001-03,SUP-T03,Packaged Foods & Bakery,INS-001,10,50 g,Available,10.08,supplier_inventory.xlsx/Supplier_Product_Catalog,2026-09-21T13:22:09.034261+00:00
