week_start_date,week_end_date,year,season,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm,humidity_pct,weather_condition,interval_days,weather_data_type,source_file,standardized_at,pipeline_timestamp
2024-06-10,2024-06-16,2024,Summer,31.4,34.0,28.3,13.7,74.7,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-06-17,2024-06-23,2024,Summer,31.9,34.3,28.5,6.8,67.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-06-24,2024-06-30,2024,Summer,31.0,32.5,28.5,13.0,69.7,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-07-01,2024-07-07,2024,Monsoon,29.5,30.9,27.4,3.4,79.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-07-08,2024-07-14,2024,Monsoon,30.9,32.6,29.3,6.6,89.5,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-07-15,2024-07-21,2024,Monsoon,28.9,30.7,27.2,8.2,89.6,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-07-22,2024-07-28,2024,Monsoon,30.0,32.2,27.6,7.1,87.7,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-07-29,2024-08-04,2024,Monsoon,29.3,31.7,26.7,4.2,87.1,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-08-05,2024-08-11,2024,Monsoon,29.5,30.8,28.0,11.2,78.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-08-12,2024-08-18,2024,Monsoon,28.9,31.1,26.9,6.1,83.3,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-08-19,2024-08-25,2024,Monsoon,29.6,32.1,27.8,4.1,84.1,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-08-26,2024-09-01,2024,Monsoon,29.7,32.1,27.1,2.5,91.5,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-09-02,2024-09-08,2024,Monsoon,29.4,32.0,26.5,11.1,81.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-09-09,2024-09-15,2024,Monsoon,30.8,33.2,26.9,6.4,90.1,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-09-16,2024-09-22,2024,Monsoon,29.4,31.5,27.3,4.4,90.7,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-09-23,2024-09-29,2024,Monsoon,29.5,31.8,27.5,11.0,86.6,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-09-30,2024-10-06,2024,Autumn,29.1,31.0,27.3,9.7,72.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-10-07,2024-10-13,2024,Autumn,29.2,30.8,27.9,4.1,69.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-10-14,2024-10-20,2024,Autumn,28.7,30.1,27.6,8.4,73.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-10-21,2024-10-27,2024,Autumn,28.9,31.2,25.7,7.3,69.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-10-28,2024-11-03,2024,Autumn,26.2,29.1,23.0,10.1,75.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-11-04,2024-11-10,2024,Autumn,23.8,25.2,22.6,0.0,76.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-11-11,2024-11-17,2024,Autumn,25.4,27.5,23.3,0.0,74.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-11-18,2024-11-24,2024,Autumn,24.7,27.2,22.6,0.0,66.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-11-25,2024-12-01,2024,Autumn,25.6,26.9,23.8,0.6,67.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-12-02,2024-12-08,2024,Winter,21.0,21.9,19.5,3.2,65.2,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-12-09,2024-12-15,2024,Winter,20.4,22.7,18.2,14.0,64.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-12-16,2024-12-22,2024,Winter,21.7,25.2,19.4,13.8,58.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-12-23,2024-12-29,2024,Winter,21.7,23.7,18.2,1.9,67.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2024-12-30,2025-01-05,2024,Winter,20.6,23.0,16.2,1.3,53.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-01-06,2025-01-12,2025,Winter,20.2,22.6,17.9,0.0,55.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-01-13,2025-01-19,2025,Winter,19.9,22.4,16.4,0.0,56.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-01-20,2025-01-26,2025,Winter,21.2,23.7,18.3,0.0,55.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-01-27,2025-02-02,2025,Winter,21.8,23.1,20.6,0.0,61.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-02-03,2025-02-09,2025,Winter,25.1,28.2,23.4,8.2,61.2,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-02-10,2025-02-16,2025,Winter,25.1,29.8,22.0,4.4,58.7,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-02-17,2025-02-23,2025,Winter,24.7,26.1,22.5,21.8,65.0,Rain,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-02-24,2025-03-02,2025,Winter,25.3,28.5,23.5,8.2,55.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-03-03,2025-03-09,2025,Spring,28.7,30.5,27.7,8.4,74.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-03-10,2025-03-16,2025,Spring,26.7,28.9,23.8,7.1,75.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-03-17,2025-03-23,2025,Spring,29.4,30.9,27.3,10.4,63.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-03-24,2025-03-30,2025,Spring,28.9,31.8,27.1,17.0,67.2,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-03-31,2025-04-06,2025,Spring,30.0,32.0,25.9,2.0,74.0,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-04-07,2025-04-13,2025,Spring,30.3,32.4,27.9,24.2,66.2,Rain,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-04-14,2025-04-20,2025,Spring,29.5,31.0,28.3,8.6,64.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-04-21,2025-04-27,2025,Spring,30.5,32.1,29.5,12.8,61.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-04-28,2025-05-04,2025,Summer,30.4,32.3,27.7,14.9,62.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-05-05,2025-05-11,2025,Summer,30.3,31.6,29.4,10.6,73.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-05-12,2025-05-18,2025,Summer,30.8,33.4,28.7,27.7,77.2,Rain,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-05-19,2025-05-25,2025,Summer,31.2,34.1,27.4,3.6,65.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-05-26,2025-06-01,2025,Summer,30.4,33.3,26.2,12.3,73.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-06-02,2025-06-08,2025,Summer,29.1,32.4,27.2,3.3,71.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-06-09,2025-06-15,2025,Summer,29.8,31.8,27.4,16.7,70.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-06-16,2025-06-22,2025,Summer,31.0,32.2,28.8,14.2,73.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-06-23,2025-06-29,2025,Summer,30.4,33.2,28.2,11.4,72.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-06-30,2025-07-06,2025,Monsoon,29.8,30.9,26.1,16.9,86.2,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-07-07,2025-07-13,2025,Monsoon,29.0,30.7,27.5,6.2,81.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-07-14,2025-07-20,2025,Monsoon,29.1,30.2,27.4,11.5,76.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-07-21,2025-07-27,2025,Monsoon,29.3,31.1,27.7,11.9,81.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-07-28,2025-08-03,2025,Monsoon,29.5,31.0,27.7,11.1,89.1,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-08-04,2025-08-10,2025,Monsoon,28.8,30.7,27.1,17.6,84.6,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-08-11,2025-08-17,2025,Monsoon,28.4,30.0,25.7,13.8,82.5,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-08-18,2025-08-24,2025,Monsoon,30.0,32.3,27.8,14.8,80.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-08-25,2025-08-31,2025,Monsoon,29.6,31.9,27.1,0.8,88.8,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-09-01,2025-09-07,2025,Monsoon,30.3,31.5,28.5,12.2,83.3,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-09-08,2025-09-14,2025,Monsoon,31.4,33.5,29.3,7.3,85.9,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-09-15,2025-09-21,2025,Monsoon,29.1,31.1,26.1,12.6,82.5,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-09-22,2025-09-28,2025,Monsoon,29.6,31.0,27.3,9.3,91.1,Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-09-29,2025-10-05,2025,Autumn,28.2,30.1,25.4,4.6,76.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-10-06,2025-10-12,2025,Autumn,28.8,31.3,26.5,6.8,75.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-10-13,2025-10-19,2025,Autumn,28.8,32.2,26.9,21.4,72.0,Rain,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-10-20,2025-10-26,2025,Autumn,28.5,30.7,26.2,4.1,73.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-10-27,2025-11-02,2025,Autumn,27.4,31.2,23.1,11.1,74.1,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-11-03,2025-11-09,2025,Autumn,23.2,24.9,21.0,0.0,78.6,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-11-10,2025-11-16,2025,Autumn,24.9,26.9,22.5,0.0,67.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-11-17,2025-11-23,2025,Autumn,24.1,26.0,19.8,0.0,73.5,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-11-24,2025-11-30,2025,Autumn,24.6,28.4,21.3,0.0,74.2,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-12-01,2025-12-07,2025,Winter,19.8,21.9,17.0,0.0,63.8,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-12-08,2025-12-14,2025,Winter,20.0,23.2,17.8,0.0,68.9,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-12-15,2025-12-21,2025,Winter,20.6,22.7,18.7,0.0,54.3,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-12-22,2025-12-28,2025,Winter,20.1,23.9,17.8,0.0,63.4,Clear/Partly Cloudy,6,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
2025-12-29,2025-12-31,2025,Winter,19.9,23.6,16.5,0.0,56.7,Clear/Partly Cloudy,2,SUPPLIED_SYNTHETIC,weather_weekly.csv,2026-09-21T14:25:30.977573+00:00,2026-09-21T14:25:30.977573+00:00
