product_variant_id,product_id,variant_index,unit_size_raw,unit_size_value,unit_size_unit,normalized_quantity_value,normalized_quantity_unit,cost_price_rs,selling_price_rs,source_file,source_record,pipeline_timestamp
ICE-004-125ML,ICE-004,2,125 ml,125.0,ml,125.0,ml,112,129,products.csv,"product_id=ICE-004, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-004-250ML,ICE-004,3,250 ml,250.0,ml,250.0,ml,177,204,products.csv,"product_id=ICE-004, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-004-500ML,ICE-004,4,500 ml,500.0,ml,500.0,ml,260,299,products.csv,"product_id=ICE-004, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-004-1L,ICE-004,5,1 L,1.0,l,1000.0,ml,473,544,products.csv,"product_id=ICE-004, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-005-80ML,ICE-005,1,80 ml,80.0,ml,80.0,ml,51,59,products.csv,"product_id=ICE-005, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-005-125ML,ICE-005,2,125 ml,125.0,ml,125.0,ml,73,84,products.csv,"product_id=ICE-005, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-005-250ML,ICE-005,3,250 ml,250.0,ml,250.0,ml,116,133,products.csv,"product_id=ICE-005, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-005-500ML,ICE-005,4,500 ml,500.0,ml,500.0,ml,170,195,products.csv,"product_id=ICE-005, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-005-1L,ICE-005,5,1 L,1.0,l,1000.0,ml,309,355,products.csv,"product_id=ICE-005, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-006-80ML,ICE-006,1,80 ml,80.0,ml,80.0,ml,51,59,products.csv,"product_id=ICE-006, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-006-125ML,ICE-006,2,125 ml,125.0,ml,125.0,ml,73,84,products.csv,"product_id=ICE-006, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-006-250ML,ICE-006,3,250 ml,250.0,ml,250.0,ml,116,133,products.csv,"product_id=ICE-006, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-006-500ML,ICE-006,4,500 ml,500.0,ml,500.0,ml,170,195,products.csv,"product_id=ICE-006, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-006-1L,ICE-006,5,1 L,1.0,l,1000.0,ml,309,355,products.csv,"product_id=ICE-006, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-007-80ML,ICE-007,1,80 ml,80.0,ml,80.0,ml,45,52,products.csv,"product_id=ICE-007, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-007-125ML,ICE-007,2,125 ml,125.0,ml,125.0,ml,64,74,products.csv,"product_id=ICE-007, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-007-250ML,ICE-007,3,250 ml,250.0,ml,250.0,ml,102,117,products.csv,"product_id=ICE-007, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-007-500ML,ICE-007,4,500 ml,500.0,ml,500.0,ml,150,173,products.csv,"product_id=ICE-007, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-007-1L,ICE-007,5,1 L,1.0,l,1000.0,ml,273,314,products.csv,"product_id=ICE-007, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-008-80ML,ICE-008,1,80 ml,80.0,ml,80.0,ml,66,76,products.csv,"product_id=ICE-008, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-008-125ML,ICE-008,2,125 ml,125.0,ml,125.0,ml,95,109,products.csv,"product_id=ICE-008, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-008-250ML,ICE-008,3,250 ml,250.0,ml,250.0,ml,150,173,products.csv,"product_id=ICE-008, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-008-500ML,ICE-008,4,500 ml,500.0,ml,500.0,ml,220,253,products.csv,"product_id=ICE-008, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-008-1L,ICE-008,5,1 L,1.0,l,1000.0,ml,400,460,products.csv,"product_id=ICE-008, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-009-80ML,ICE-009,1,80 ml,80.0,ml,80.0,ml,44,51,products.csv,"product_id=ICE-009, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-009-125ML,ICE-009,2,125 ml,125.0,ml,125.0,ml,62,71,products.csv,"product_id=ICE-009, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-009-250ML,ICE-009,3,250 ml,250.0,ml,250.0,ml,99,114,products.csv,"product_id=ICE-009, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-009-500ML,ICE-009,4,500 ml,500.0,ml,500.0,ml,145,167,products.csv,"product_id=ICE-009, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-009-1L,ICE-009,5,1 L,1.0,l,1000.0,ml,264,304,products.csv,"product_id=ICE-009, unit_size_5",2026-09-21T13:22:09.034261+00:00
ICE-010-80ML,ICE-010,1,80 ml,80.0,ml,80.0,ml,36,41,products.csv,"product_id=ICE-010, unit_size_1",2026-09-21T13:22:09.034261+00:00
ICE-010-125ML,ICE-010,2,125 ml,125.0,ml,125.0,ml,52,60,products.csv,"product_id=ICE-010, unit_size_2",2026-09-21T13:22:09.034261+00:00
ICE-010-250ML,ICE-010,3,250 ml,250.0,ml,250.0,ml,82,94,products.csv,"product_id=ICE-010, unit_size_3",2026-09-21T13:22:09.034261+00:00
ICE-010-500ML,ICE-010,4,500 ml,500.0,ml,500.0,ml,120,138,products.csv,"product_id=ICE-010, unit_size_4",2026-09-21T13:22:09.034261+00:00
ICE-010-1L,ICE-010,5,1 L,1.0,l,1000.0,ml,218,251,products.csv,"product_id=ICE-010, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-001-20G,CHO-001,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-001, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-001-40G,CHO-001,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-001, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-001-60G,CHO-001,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-001, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-001-100G,CHO-001,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-001, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-001-150G,CHO-001,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-001, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-002-20G,CHO-002,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-002, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-002-40G,CHO-002,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-002, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-002-60G,CHO-002,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-002, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-002-100G,CHO-002,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-002, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-002-150G,CHO-002,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-002, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-003-20G,CHO-003,1,20 g,20.0,g,20.0,g,25,29,products.csv,"product_id=CHO-003, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-003-40G,CHO-003,2,40 g,40.0,g,40.0,g,51,59,products.csv,"product_id=CHO-003, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-003-60G,CHO-003,3,60 g,60.0,g,60.0,g,76,87,products.csv,"product_id=CHO-003, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-003-100G,CHO-003,4,100 g,100.0,g,100.0,g,126,145,products.csv,"product_id=CHO-003, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-003-150G,CHO-003,5,150 g,150.0,g,150.0,g,179,206,products.csv,"product_id=CHO-003, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-004-20G,CHO-004,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-004, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-004-40G,CHO-004,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-004, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-004-60G,CHO-004,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-004, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-004-100G,CHO-004,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-004, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-004-150G,CHO-004,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-004, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-005-20G,CHO-005,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-005, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-005-40G,CHO-005,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-005, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-005-60G,CHO-005,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-005, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-005-100G,CHO-005,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-005, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-005-150G,CHO-005,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-005, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-006-20G,CHO-006,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-006, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-006-40G,CHO-006,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-006, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-006-60G,CHO-006,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-006, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-006-100G,CHO-006,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-006, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-006-150G,CHO-006,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-006, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-007-20G,CHO-007,1,20 g,20.0,g,20.0,g,18,21,products.csv,"product_id=CHO-007, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-007-40G,CHO-007,2,40 g,40.0,g,40.0,g,35,40,products.csv,"product_id=CHO-007, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-007-60G,CHO-007,3,60 g,60.0,g,60.0,g,53,61,products.csv,"product_id=CHO-007, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-007-100G,CHO-007,4,100 g,100.0,g,100.0,g,88,101,products.csv,"product_id=CHO-007, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-007-150G,CHO-007,5,150 g,150.0,g,150.0,g,124,143,products.csv,"product_id=CHO-007, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-008-20G,CHO-008,1,20 g,20.0,g,20.0,g,129,148,products.csv,"product_id=CHO-008, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-008-40G,CHO-008,2,40 g,40.0,g,40.0,g,259,298,products.csv,"product_id=CHO-008, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-008-60G,CHO-008,3,60 g,60.0,g,60.0,g,388,446,products.csv,"product_id=CHO-008, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-008-100G,CHO-008,4,100 g,100.0,g,100.0,g,647,744,products.csv,"product_id=CHO-008, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-008-150G,CHO-008,5,150 g,150.0,g,150.0,g,917,1055,products.csv,"product_id=CHO-008, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-009-20G,CHO-009,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-009, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-009-40G,CHO-009,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-009, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-009-60G,CHO-009,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-009, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-009-100G,CHO-009,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-009, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-009-150G,CHO-009,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-009, unit_size_5",2026-09-21T13:22:09.034261+00:00
CHO-010-20G,CHO-010,1,20 g,20.0,g,20.0,g,17,20,products.csv,"product_id=CHO-010, unit_size_1",2026-09-21T13:22:09.034261+00:00
CHO-010-40G,CHO-010,2,40 g,40.0,g,40.0,g,34,39,products.csv,"product_id=CHO-010, unit_size_2",2026-09-21T13:22:09.034261+00:00
CHO-010-60G,CHO-010,3,60 g,60.0,g,60.0,g,51,59,products.csv,"product_id=CHO-010, unit_size_3",2026-09-21T13:22:09.034261+00:00
CHO-010-100G,CHO-010,4,100 g,100.0,g,100.0,g,86,99,products.csv,"product_id=CHO-010, unit_size_4",2026-09-21T13:22:09.034261+00:00
CHO-010-150G,CHO-010,5,150 g,150.0,g,150.0,g,122,140,products.csv,"product_id=CHO-010, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-001-50G,SNK-001,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-001, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-001-90G,SNK-001,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-001, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-001-100G,SNK-001,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-001, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-001-200G,SNK-001,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-001, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-001-400G,SNK-001,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-001, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-002-50G,SNK-002,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-002, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-002-90G,SNK-002,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-002, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-002-100G,SNK-002,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-002, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-002-200G,SNK-002,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-002, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-002-400G,SNK-002,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-002, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-003-50G,SNK-003,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-003, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-003-90G,SNK-003,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-003, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-003-100G,SNK-003,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-003, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-003-200G,SNK-003,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-003, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-003-400G,SNK-003,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-003, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-004-50G,SNK-004,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-004, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-004-90G,SNK-004,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-004, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-004-100G,SNK-004,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-004, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-004-200G,SNK-004,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-004, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-004-400G,SNK-004,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-004, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-005-50G,SNK-005,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-005, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-005-90G,SNK-005,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-005, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-005-100G,SNK-005,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-005, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-005-200G,SNK-005,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-005, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-005-400G,SNK-005,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-005, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-006-50G,SNK-006,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-006, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-006-90G,SNK-006,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-006, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-006-100G,SNK-006,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-006, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-006-200G,SNK-006,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-006, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-006-400G,SNK-006,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-006, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-007-50G,SNK-007,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-007, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-007-90G,SNK-007,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-007, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-007-100G,SNK-007,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-007, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-007-200G,SNK-007,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-007, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-007-400G,SNK-007,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-007, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-008-50G,SNK-008,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-008, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-008-90G,SNK-008,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-008, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-008-100G,SNK-008,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-008, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-008-200G,SNK-008,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-008, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-008-400G,SNK-008,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-008, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-009-50G,SNK-009,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-009, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-009-90G,SNK-009,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-009, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-009-100G,SNK-009,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-009, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-009-200G,SNK-009,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-009, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-009-400G,SNK-009,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-009, unit_size_5",2026-09-21T13:22:09.034261+00:00
SNK-010-50G,SNK-010,1,50 g,50.0,g,50.0,g,16,18,products.csv,"product_id=SNK-010, unit_size_1",2026-09-21T13:22:09.034261+00:00
SNK-010-90G,SNK-010,2,90 g,90.0,g,90.0,g,30,35,products.csv,"product_id=SNK-010, unit_size_2",2026-09-21T13:22:09.034261+00:00
SNK-010-100G,SNK-010,3,100 g,100.0,g,100.0,g,33,38,products.csv,"product_id=SNK-010, unit_size_3",2026-09-21T13:22:09.034261+00:00
SNK-010-200G,SNK-010,4,200 g,200.0,g,200.0,g,62,71,products.csv,"product_id=SNK-010, unit_size_4",2026-09-21T13:22:09.034261+00:00
SNK-010-400G,SNK-010,5,400 g,400.0,g,400.0,g,120,138,products.csv,"product_id=SNK-010, unit_size_5",2026-09-21T13:22:09.034261+00:00
BEV-001-200ML,BEV-001,1,200 ml,200.0,ml,200.0,ml,16,18,products.csv,"product_id=BEV-001, unit_size_1",2026-09-21T13:22:09.034261+00:00
BEV-001-250ML,BEV-001,2,250 ml,250.0,ml,250.0,ml,20,23,products.csv,"product_id=BEV-001, unit_size_2",2026-09-21T13:22:09.034261+00:00
BEV-001-500ML,BEV-001,3,500 ml,500.0,ml,500.0,ml,38,44,products.csv,"product_id=BEV-001, unit_size_3",2026-09-21T13:22:09.034261+00:00
BEV-001-750ML,BEV-001,4,750 ml,750.0,ml,750.0,ml,54,62,products.csv,"product_id=BEV-001, unit_size_4",2026-09-21T13:22:09.034261+00:00
BEV-001-1L,BEV-001,5,1 L,1.0,l,1000.0,ml,72,83,products.csv,"product_id=BEV-001, unit_size_5",2026-09-21T13:22:09.034261+00:00
BEV-002-200ML,BEV-002,1,200 ml,200.0,ml,200.0,ml,16,18,products.csv,"product_id=BEV-002, unit_size_1",2026-09-21T13:22:09.034261+00:00
BEV-002-250ML,BEV-002,2,250 ml,250.0,ml,250.0,ml,20,23,products.csv,"product_id=BEV-002, unit_size_2",2026-09-21T13:22:09.034261+00:00
BEV-002-500ML,BEV-002,3,500 ml,500.0,ml,500.0,ml,38,44,products.csv,"product_id=BEV-002, unit_size_3",2026-09-21T13:22:09.034261+00:00
BEV-002-750ML,BEV-002,4,750 ml,750.0,ml,750.0,ml,54,62,products.csv,"product_id=BEV-002, unit_size_4",2026-09-21T13:22:09.034261+00:00
BEV-002-1L,BEV-002,5,1 L,1.0,l,1000.0,ml,72,83,products.csv,"product_id=BEV-002, unit_size_5",2026-09-21T13:22:09.034261+00:00
BEV-003-200ML,BEV-003,1,200 ml,200.0,ml,200.0,ml,16,18,products.csv,"product_id=BEV-003, unit_size_1",2026-09-21T13:22:09.034261+00:00
BEV-003-250ML,BEV-003,2,250 ml,250.0,ml,250.0,ml,20,23,products.csv,"product_id=BEV-003, unit_size_2",2026-09-21T13:22:09.034261+00:00
BEV-003-500ML,BEV-003,3,500 ml,500.0,ml,500.0,ml,38,44,products.csv,"product_id=BEV-003, unit_size_3",2026-09-21T13:22:09.034261+00:00
BEV-003-750ML,BEV-003,4,750 ml,750.0,ml,750.0,ml,54,62,products.csv,"product_id=BEV-003, unit_size_4",2026-09-21T13:22:09.034261+00:00
BEV-003-1L,BEV-003,5,1 L,1.0,l,1000.0,ml,72,83,products.csv,"product_id=BEV-003, unit_size_5",2026-09-21T13:22:09.034261+00:00
BEV-004-200ML,BEV-004,1,200 ml,200.0,ml,200.0,ml,16,18,products.csv,"product_id=BEV-004, unit_size_1",2026-09-21T13:22:09.034261+00:00
BEV-004-250ML,BEV-004,2,250 ml,250.0,ml,250.0,ml,20,23,products.csv,"product_id=BEV-004, unit_size_2",2026-09-21T13:22:09.034261+00:00
BEV-004-500ML,BEV-004,3,500 ml,500.0,ml,500.0,ml,38,44,products.csv,"product_id=BEV-004, unit_size_3",2026-09-21T13:22:09.034261+00:00
BEV-004-750ML,BEV-004,4,750 ml,750.0,ml,750.0,ml,54,62,products.csv,"product_id=BEV-004, unit_size_4",2026-09-21T13:22:09.034261+00:00
